BuildingName,Year,Month,TotalUsage
ANAOKULU KREŞ,2022.0,1.0,400.0
ANAOKULU KREŞ,2022.0,2.0,400.0
ANAOKULU KREŞ,2022.0,3.0,300.0
ANAOKULU KREŞ,2022.0,4.0,100.0
ANAOKULU KREŞ,2022.0,5.0,0.0
ANAOKULU KREŞ,2022.0,6.0,0.0
ANAOKULU KREŞ,2022.0,7.0,0.0
ANAOKULU KREŞ,2022.0,8.0,0.0
ANAOKULU KREŞ,2022.0,9.0,0.0
ANAOKULU KREŞ,2022.0,10.0,0.0
ANAOKULU KREŞ,2022.0,11.0,403.0
ANAOKULU KREŞ,2022.0,12.0,200.0
ANAOKULU KREŞ,2023.0,1.0,400.0
ANAOKULU KREŞ,2023.0,2.0,800.0
ANAOKULU KREŞ,2023.0,3.0,500.0
ANAOKULU KREŞ,2023.0,4.0,500.0
ANAOKULU KREŞ,2023.0,5.0,10.0
ANAOKULU KREŞ,2023.0,6.0,10.0
ANAOKULU KREŞ,2023.0,7.0,10.0
ANAOKULU KREŞ,2023.0,8.0,10.0
ANAOKULU KREŞ,2023.0,9.0,10.0
ANAOKULU KREŞ,2023.0,10.0,10.0
ANAOKULU KREŞ,2023.0,12.0,200.0
ANAOKULU KREŞ,2024.0,1.0,400.0
ANAOKULU KREŞ,2024.0,3.0,200.0
ANAOKULU KREŞ,2024.0,4.0,223.0
ANAOKULU KREŞ,2024.0,5.0,77.0
ANAOKULU KREŞ,2024.0,6.0,55.0
ANAOKULU KREŞ,2024.0,7.0,45.0
ANAOKULU KREŞ,2024.0,8.0,40.0
ANAOKULU KREŞ,2024.0,9.0,40.0
