BuildingName,Year,Month,TotalUsage
BİLGİSAYAR KANTİN (E-SYC30),2022.0,1.0,382.0
BİLGİSAYAR KANTİN (E-SYC30),2022.0,2.0,363.0
BİLGİSAYAR KANTİN (E-SYC30),2022.0,3.0,232.0
BİLGİSAYAR KANTİN (E-SYC30),2022.0,4.0,377.0
BİLGİSAYAR KANTİN (E-SYC30),2022.0,5.0,287.0
BİLGİSAYAR KANTİN (E-SYC30),2022.0,6.0,333.0
BİLGİSAYAR KANTİN (E-SYC30),2022.0,10.0,379.0
BİLGİSAYAR KANTİN (E-SYC30),2022.0,11.0,178.0
BİLGİSAYAR KANTİN (E-SYC30),2022.0,12.0,162.0
BİLGİSAYAR KANTİN (E-SYC30),2023.0,1.0,185.0
BİLGİSAYAR KANTİN (E-SYC30),2023.0,2.0,236.0
BİLGİSAYAR KANTİN (E-SYC30),2023.0,3.0,274.0
BİLGİSAYAR KANTİN (E-SYC30),2023.0,4.0,263.0
BİLGİSAYAR KANTİN (E-SYC30),2023.0,5.0,239.0
BİLGİSAYAR KANTİN (E-SYC30),2023.0,6.0,240.0
BİLGİSAYAR KANTİN (E-SYC30),2023.0,7.0,617.0
BİLGİSAYAR KANTİN (E-SYC30),2023.0,10.0,648.0
BİLGİSAYAR KANTİN (E-SYC30),2023.0,12.0,1441.0
BİLGİSAYAR KANTİN (E-SYC30),2024.0,1.0,474.0
BİLGİSAYAR KANTİN (E-SYC30),2024.0,2.0,348.0
BİLGİSAYAR KANTİN (E-SYC30),2024.0,3.0,522.0
BİLGİSAYAR KANTİN (E-SYC30),2024.0,4.0,542.0
BİLGİSAYAR KANTİN (E-SYC30),2024.0,5.0,424.0
BİLGİSAYAR KANTİN (E-SYC30),2024.0,6.0,439.0
