BuildingName,Year,Month,TotalUsage
ELEKTRONİK KANTİN (E-SYC29),2022.0,1.0,386.0
ELEKTRONİK KANTİN (E-SYC29),2022.0,2.0,208.0
ELEKTRONİK KANTİN (E-SYC29),2022.0,3.0,337.0
ELEKTRONİK KANTİN (E-SYC29),2022.0,4.0,339.0
ELEKTRONİK KANTİN (E-SYC29),2022.0,5.0,429.0
ELEKTRONİK KANTİN (E-SYC29),2022.0,6.0,807.0
ELEKTRONİK KANTİN (E-SYC29),2022.0,10.0,408.0
ELEKTRONİK KANTİN (E-SYC29),2022.0,11.0,345.0
ELEKTRONİK KANTİN (E-SYC29),2022.0,12.0,321.0
ELEKTRONİK KANTİN (E-SYC29),2023.0,1.0,671.0
ELEKTRONİK KANTİN (E-SYC29),2023.0,2.0,315.0
ELEKTRONİK KANTİN (E-SYC29),2023.0,3.0,800.0
ELEKTRONİK KANTİN (E-SYC29),2023.0,4.0,434.0
ELEKTRONİK KANTİN (E-SYC29),2023.0,5.0,363.0
ELEKTRONİK KANTİN (E-SYC29),2023.0,6.0,303.0
ELEKTRONİK KANTİN (E-SYC29),2023.0,10.0,151.0
ELEKTRONİK KANTİN (E-SYC29),2023.0,12.0,1573.0
ELEKTRONİK KANTİN (E-SYC29),2024.0,1.0,1290.0
ELEKTRONİK KANTİN (E-SYC29),2024.0,2.0,362.0
ELEKTRONİK KANTİN (E-SYC29),2024.0,3.0,836.0
ELEKTRONİK KANTİN (E-SYC29),2024.0,4.0,621.0
ELEKTRONİK KANTİN (E-SYC29),2024.0,5.0,737.0
ELEKTRONİK KANTİN (E-SYC29),2024.0,6.0,1.0
