BuildingName,Year,Month,TotalUsage
ELEKTRONİK MÜH N2BLOK (E-SYC06),2022.0,1.0,33.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2022.0,2.0,30.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2022.0,3.0,30.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2022.0,4.0,33.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2022.0,5.0,34.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2022.0,6.0,35.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2022.0,7.0,34.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2022.0,8.0,36.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2022.0,9.0,36.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2022.0,10.0,35.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2022.0,11.0,38.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2022.0,12.0,39.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2023.0,1.0,39.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2023.0,2.0,40.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2023.0,3.0,44.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2023.0,4.0,45.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2023.0,5.0,44.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2023.0,6.0,47.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2023.0,7.0,53.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2023.0,8.0,54.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2023.0,9.0,53.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2023.0,10.0,55.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2023.0,12.0,52.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2024.0,1.0,40.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2024.0,2.0,112.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2024.0,3.0,80.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2024.0,4.0,56.0
ELEKTRONİK MÜH N2BLOK (E-SYC06),2024.0,5.0,52.0
