BuildingName,Year,Month,TotalUsage
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,1.0,1883.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,2.0,1626.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,3.0,1912.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,4.0,1197.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,5.0,133.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,6.0,108.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,7.0,14.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,8.0,121.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,9.0,200.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,10.0,10.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,11.0,803.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,12.0,1234.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,1.0,1272.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,2.0,3119.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,3.0,1158.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,4.0,1448.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,5.0,594.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,6.0,29.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,7.0,14.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,8.0,27.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,9.0,150.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,10.0,20.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,12.0,1301.0
ENSTİTÜ BİNALARI-G3-H3-F3,2024.0,1.0,1380.0
ENSTİTÜ BİNALARI-G3-H3-F3,2024.0,3.0,1566.0
ENSTİTÜ BİNALARI-G3-H3-F3,2024.0,4.0,275.0
ENSTİTÜ BİNALARI-G3-H3-F3,2024.0,5.0,537.0
ENSTİTÜ BİNALARI-G3-H3-F3,2024.0,6.0,102.0
ENSTİTÜ BİNALARI-G3-H3-F3,2024.0,7.0,79.0
ENSTİTÜ BİNALARI-G3-H3-F3,2024.0,8.0,100.0
ENSTİTÜ BİNALARI-G3-H3-F3,2024.0,9.0,79.0
