;SÜMER B?NASI / - G4 BLOK ENERJ? TÜKET?M SAYAÇLARI TAK?P FORMU;;;;;;;;;ANA DATA YILLIK'!A1;;ANA DATA AYLIK'!A1;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;2022 TOPLAM:;2023 TOPLAM:;2024 TOPLAM:;;;;
;;;;;;;;;;2.830,8232387;1.897,5645839;1.485,6682207;;;;
YIL;DO?ALGAZ;;;;;;;;;DOGALGAZ TEP DÖNÜ?ÜM FORMÜL?ZASYON;;;;;;
;No;Tarih;Sayaç Kodu;?lk Sayaç De?eri;Son Sayaç De?eri;KULLANIM;SM^3 Deger?;;;AYLAR;OFID;DK 21 mb;DK 300 mb;1m^3 =TEP ;;
2022;OCAK;31.01.2022;; 1 ; 823 ;822,00;864,4932124;;;OCAK;9354,28;1,02929;1,31167;0,000825;;
;?UBAT;28.02.2022;; 823 ; 1.211 ;388,00;407,5446234;;;?UBAT;9334,63;1,03016;1,31249;0,000825;;
;MART;28.03.2022;; 1.211 ; 1.718 ;507,00;530,3121272;;;MART;9354,53;1,02367;1,30478;0,000825;;
;N?SAN;28.04.2022;; 1.718 ; 1.820 ;102,00;106,1963583;;;N?SAN;9414,62;1,01243;1,29072;0,000825;;
;MAYIS;31.05.2022;; 1.820 ; 1.854 ;34,00;35,2912463;;;MAYIS;9543,15;0,99576;1,26975;0,000825;;
;HAZ?RAN;30.06.2022;; 1.854 ; 1.854 ;0,00;0,0000000;;;HAZ?RAN;9647,91;0,98093;1,25109;0,000825;;
;TEMMUZ;30.07.2022;; 1.854 ; 1.855 ;1,00;1,0116411;;;TEMMUZ;9548,31;0,96997;1,23738;0,000825;;
;A?USTOS;31.08.2022;; 1.855 ; 1.855 ;0,00;0,0000000;;;A?USTOS;9391,48;0,96807;1,2347;0,000825;;
;EYLÜL;30.09.2022;; 1.855 ; 1.864 ;9,00;9,0369476;;;EYLÜL;9406,68;0,97724;1,24586;0,000825;;
;EK?M;31.10.2022;; 1.864 ; 1.874 ;10,00;10,1968664;;;EK?M;9399,24;0,99319;1,26539;0,000825;;
;KASIM;30.11.2022;; 1.874 ; 2.285 ;411,00;430,3101884;;;KASIM;9523,8;1,00644;1,28201;0,000825;;
;ARALIK;30.12.2022;; 2.285 ; 2.700 ;415,00;436,4300276;;;ARALIK;9422,99;1,02173;1,30121;0,000825;;
2023;OCAK;24.01.2023;; 2.700 ; 2.874 ;174,00;184,2836026;;;OCAK;9417,41;1,02959;1,31177;0,000825;;
;?UBAT;25.02.2023;; 2.874 ; 3.365 ;491,00;520,2133731;;;?UBAT;9420,57;1,02963;1,31182;0,000825;;
;MART;24.03.2023;; 3.365 ; 3.590 ;225,00;236,5715257;;;MART;9402,89;1,02371;1,30483;0,000825;;
;N?SAN;28.04.2023;; 3.590 ; 3.814 ;224,00;233,3927683;;;N?SAN;9417,31;1,01291;1,29133;0,000825;;
;MAYIS;31.05.2023;; 3.814 ; 3.850 ;36,00;36,8599030;;;MAYIS;9415,01;0,99561;1,26955;0,000825;;
;HAZ?RAN;20.06.2023;; 3.850 ; 3.872 ;22,00;22,2908595;;;HAZ?RAN;9453,19;0,98126;1,25152;0,000825;;
;TEMMUZ;25.07.2023;; 3.872 ; 3.885 ;13,00;13,1741877;;;TEMMUZ;9557,02;0,97077;1,2384;0,000825;;
;A?USTOS;28.08.2023;; 3.885 ; 3.896 ;11,00;11,0296072;;;A?USTOS;9476,15;0,96871;1,23551;0,000825;;
;EYLÜL;22.09.2023;; 3.896 ; 3.908 ;12,00;12,1225892;;;EYLÜL;9456,86;0,97797;1,24679;0,000825;;
;EK?M;28.10.2023;; 3.908 ; 3.932 ;24,00;24,5555072;;;EK?M;9412,27;0,99518;1,26765;0,000825;;
;KASIM;30.11.2022;; 3.932 ; 4.071 ;139,00;144,5382185;;;KASIM;9452,37;1,00713;1,28287;0,000825;;
;ARALIK;29.12.2023;; 4.071 ; 4.507 ;436,00;458,5324419;;;ARALIK;9428,62;1,02116;1,30047;0,000825;;
2024;OCAK;27.01.2024;; 4.507 ; 5.006 ;499,00;525,9714960;;;OCAK;9379,52;1,02882;1,31079;0,000825;;5845
;?UBAT;25.02.2023;; 5.006 ; 5.476 ;470,00;498,6520021;;;?UBAT;9416,12;1,03154;1,31397;0,000825;;5871
;MART;29.03.2024;; 5.476 ; 5.834 ;358,00;377,3063202;;;MART;9423,86;1,02386;1,30501;0,000825;;5883
;N?SAN;24.04.2024;; 5.834 ; 5.845 ;11,00;11,5059979;;;N?SAN;9451,65;1,01317;1,29167;0,000825;;
;MAYIS;29.05.2024;; 5.845 ; 5.871 ;26,00;26,7688499;;;MAYIS;9467;0,99564;1,26959;0,000825;;
;HAZ?RAN;29.06.2024;; 5.871 ; 5.883 ;12,00;12,1768033;;;HAZ?RAN;9462;0,98181;1,25222;0,000825;;
;TEMMUZ;27.07.2024;; 5.883 ; 5.894 ;11,00;11,0385545;;;TEMMUZ;9466,15;0,97052;1,23809;0,000825;;
;A?USTOS;29.08.2024;; 5.894 ; 5.905 ;11,00;11,0140571;;;A?USTOS;9462,79;0,96871;1,23551;0,000825;;
;EYLÜL;27.09.2024;; 5.905 ; 5.916 ;11,00;11,2341397;;;EYLÜL;9462,28;0,98812;1,24698;0,000825;;
;EK?M;;; 5.916 ;;;;;;EK?M;9429,05;0,99466;1,267;0,000825;;
;KASIM;;; -   ;;;;;;KASIM;;;;0,000825;;
;ARALIK;;; -   ;;;;;;ARALIK;;;;0,000825;;
2025;OCAK;;; -   ;;;;;;OCAK;;;;0,000825;;
;?UBAT;;; -   ;;;;;;?UBAT;;;;0,000825;;
;MART;;; -   ;;;;;;MART;;;;0,000825;;
;N?SAN;;; -   ;;;;;;N?SAN;;;;0,000825;;
;MAYIS;;; -   ;;;;;;MAYIS;;;;0,000825;;
;HAZ?RAN;;; -   ;;;;;;HAZ?RAN;;;;0,000825;;
;TEMMUZ;;; -   ;;;;;;TEMMUZ;;;;0,000825;;
;A?USTOS;;; -   ;;;;;;A?USTOS;;;;0,000825;;
;EYLÜL;;; -   ;;;;;;EYLÜL;;;;0,000825;;
;EK?M;;; -   ;;;;;;EK?M;;;;0,000825;;
;KASIM;;; -   ;;;;;;KASIM;;;;0,000825;;
;ARALIK;;; -   ;;;;;;ARALIK;;;;0,000825;;
;49;;; -   ;;;;;;;;;;;;
;50;;; -   ;;;;;;;;;;;;
;51;;; -   ;;;;;;;;;;;;
;52;;; -   ;;;;;;;;;;;;
;53;;; -   ;;;;;;;;;;;;
;54;;; -   ;;;;;;;;;;;;
;55;;; -   ;;;;;;;;;;;;
;56;;; -   ;;;;;;;;;;;;
;57;;; -   ;;;;;;;;;;;;
;58;;; -   ;;;;;;;;;;;;
;59;;; -   ;;;;;;;;;;;;
;60;;; -   ;;;;;;;;;;;;
;61;;; -   ;;;;;;;;;;;;
;62;;; -   ;;;;;;;;;;;;
;63;;; -   ;;;;;;;;;;;;
;64;;; -   ;;;;;;;;;;;;
;65;;; -   ;;;;;;;;;;;;
;66;;; -   ;;;;;;;;;;;;
;67;;; -   ;;;;;;;;;;;;
;68;;; -   ;;;;;;;;;;;;
;69;;; -   ;;;;;;;;;;;;
;70;;; -   ;;;;;;;;;;;;
;71;;; -   ;;;;;;;;;;;;
