BuildingName,Year,Month,TotalUsage
HANGAR BİNASI,2022.0,1.0,1.0
HANGAR BİNASI,2022.0,2.0,0.0
HANGAR BİNASI,2022.0,3.0,0.0
HANGAR BİNASI,2022.0,4.0,0.0
HANGAR BİNASI,2022.0,5.0,0.0
HANGAR BİNASI,2022.0,6.0,0.0
HANGAR BİNASI,2022.0,7.0,0.0
HANGAR BİNASI,2022.0,8.0,0.0
HANGAR BİNASI,2022.0,9.0,0.0
HANGAR BİNASI,2022.0,10.0,0.0
HANGAR BİNASI,2022.0,11.0,74.0
HANGAR BİNASI,2022.0,12.0,81.0
HANGAR BİNASI,2023.0,1.0,128.0
HANGAR BİNASI,2023.0,2.0,70.0
HANGAR BİNASI,2023.0,3.0,43.0
HANGAR BİNASI,2023.0,4.0,0.0
HANGAR BİNASI,2023.0,5.0,0.0
HANGAR BİNASI,2023.0,6.0,2.0
HANGAR BİNASI,2023.0,7.0,2.0
HANGAR BİNASI,2023.0,8.0,0.0
HANGAR BİNASI,2023.0,9.0,0.0
HANGAR BİNASI,2023.0,10.0,1.0
HANGAR BİNASI,2023.0,12.0,416.0
HANGAR BİNASI,2024.0,1.0,123.0
HANGAR BİNASI,2024.0,3.0,1299.0
HANGAR BİNASI,2024.0,4.0,3.0
HANGAR BİNASI,2024.0,5.0,0.0
HANGAR BİNASI,2024.0,6.0,0.0
HANGAR BİNASI,2024.0,7.0,2.0
HANGAR BİNASI,2024.0,8.0,0.0
HANGAR BİNASI,2024.0,9.0,0.0
