BuildingName,Year,Month,TotalUsage
KAPALI SPOR SALONU,2022.0,1.0,1000.0
KAPALI SPOR SALONU,2022.0,2.0,1000.0
KAPALI SPOR SALONU,2022.0,3.0,1000.0
KAPALI SPOR SALONU,2022.0,4.0,480.0
KAPALI SPOR SALONU,2022.0,5.0,0.0
KAPALI SPOR SALONU,2022.0,6.0,0.0
KAPALI SPOR SALONU,2022.0,7.0,0.0
KAPALI SPOR SALONU,2022.0,8.0,0.0
KAPALI SPOR SALONU,2022.0,9.0,0.0
KAPALI SPOR SALONU,2022.0,10.0,0.0
KAPALI SPOR SALONU,2022.0,11.0,1305.0
KAPALI SPOR SALONU,2022.0,12.0,1003.0
KAPALI SPOR SALONU,2023.0,1.0,1000.0
KAPALI SPOR SALONU,2023.0,2.0,2611.0
KAPALI SPOR SALONU,2023.0,3.0,1000.0
KAPALI SPOR SALONU,2023.0,4.0,492.0
KAPALI SPOR SALONU,2023.0,5.0,100.0
KAPALI SPOR SALONU,2023.0,6.0,100.0
KAPALI SPOR SALONU,2023.0,7.0,50.0
KAPALI SPOR SALONU,2023.0,8.0,100.0
KAPALI SPOR SALONU,2023.0,9.0,50.0
KAPALI SPOR SALONU,2023.0,10.0,58.0
KAPALI SPOR SALONU,2023.0,12.0,1000.0
KAPALI SPOR SALONU,2024.0,1.0,1042.0
KAPALI SPOR SALONU,2024.0,3.0,1053.0
KAPALI SPOR SALONU,2024.0,4.0,405.0
KAPALI SPOR SALONU,2024.0,5.0,224.0
KAPALI SPOR SALONU,2024.0,6.0,82.0
KAPALI SPOR SALONU,2024.0,7.0,50.0
KAPALI SPOR SALONU,2024.0,8.0,40.0
