BuildingName,Year,Month,TotalUsage
KAPALI YÜZME HAVUZU,2022.0,1.0,11325.0
KAPALI YÜZME HAVUZU,2022.0,2.0,9325.0
KAPALI YÜZME HAVUZU,2022.0,3.0,12647.0
KAPALI YÜZME HAVUZU,2022.0,4.0,9423.0
KAPALI YÜZME HAVUZU,2022.0,5.0,6531.0
KAPALI YÜZME HAVUZU,2022.0,6.0,3847.0
KAPALI YÜZME HAVUZU,2022.0,7.0,2384.0
KAPALI YÜZME HAVUZU,2022.0,8.0,1566.0
KAPALI YÜZME HAVUZU,2022.0,9.0,1601.0
KAPALI YÜZME HAVUZU,2022.0,10.0,1395.0
KAPALI YÜZME HAVUZU,2022.0,11.0,10709.0
KAPALI YÜZME HAVUZU,2022.0,12.0,7682.0
KAPALI YÜZME HAVUZU,2023.0,1.0,9144.0
KAPALI YÜZME HAVUZU,2023.0,2.0,20268.0
KAPALI YÜZME HAVUZU,2023.0,3.0,6707.0
KAPALI YÜZME HAVUZU,2023.0,4.0,8037.0
KAPALI YÜZME HAVUZU,2023.0,5.0,5496.0
KAPALI YÜZME HAVUZU,2023.0,6.0,1387.0
KAPALI YÜZME HAVUZU,2023.0,7.0,1334.0
KAPALI YÜZME HAVUZU,2023.0,8.0,1154.0
KAPALI YÜZME HAVUZU,2023.0,9.0,1750.0
KAPALI YÜZME HAVUZU,2023.0,10.0,4321.0
KAPALI YÜZME HAVUZU,2023.0,12.0,10116.0
KAPALI YÜZME HAVUZU,2024.0,1.0,6586.0
KAPALI YÜZME HAVUZU,2024.0,3.0,8346.0
KAPALI YÜZME HAVUZU,2024.0,4.0,5140.0
KAPALI YÜZME HAVUZU,2024.0,5.0,6280.0
KAPALI YÜZME HAVUZU,2024.0,6.0,1709.0
KAPALI YÜZME HAVUZU,2024.0,7.0,776.0
KAPALI YÜZME HAVUZU,2024.0,8.0,759.0
KAPALI YÜZME HAVUZU,2024.0,9.0,2214.0
