BuildingName,Year,Month,TotalUsage
KELEBEK RESTAURANT Z2 (E-SYC26),2022.0,1.0,2852.0
KELEBEK RESTAURANT Z2 (E-SYC26),2022.0,2.0,2297.0
KELEBEK RESTAURANT Z2 (E-SYC26),2022.0,3.0,3448.0
KELEBEK RESTAURANT Z2 (E-SYC26),2022.0,4.0,1872.0
KELEBEK RESTAURANT Z2 (E-SYC26),2022.0,5.0,2304.0
KELEBEK RESTAURANT Z2 (E-SYC26),2022.0,6.0,2747.0
KELEBEK RESTAURANT Z2 (E-SYC26),2022.0,7.0,2508.0
KELEBEK RESTAURANT Z2 (E-SYC26),2022.0,8.0,2402.0
KELEBEK RESTAURANT Z2 (E-SYC26),2022.0,9.0,3930.0
KELEBEK RESTAURANT Z2 (E-SYC26),2022.0,10.0,2831.0
KELEBEK RESTAURANT Z2 (E-SYC26),2022.0,11.0,2796.0
KELEBEK RESTAURANT Z2 (E-SYC26),2022.0,12.0,3192.0
KELEBEK RESTAURANT Z2 (E-SYC26),2023.0,1.0,3250.0
KELEBEK RESTAURANT Z2 (E-SYC26),2023.0,2.0,1873.0
KELEBEK RESTAURANT Z2 (E-SYC26),2023.0,3.0,1891.0
KELEBEK RESTAURANT Z2 (E-SYC26),2023.0,4.0,1626.0
KELEBEK RESTAURANT Z2 (E-SYC26),2023.0,5.0,2200.0
KELEBEK RESTAURANT Z2 (E-SYC26),2023.0,6.0,2409.0
KELEBEK RESTAURANT Z2 (E-SYC26),2023.0,7.0,2508.0
KELEBEK RESTAURANT Z2 (E-SYC26),2023.0,8.0,2481.0
KELEBEK RESTAURANT Z2 (E-SYC26),2023.0,9.0,4116.0
KELEBEK RESTAURANT Z2 (E-SYC26),2023.0,10.0,2334.0
KELEBEK RESTAURANT Z2 (E-SYC26),2023.0,12.0,5896.0
KELEBEK RESTAURANT Z2 (E-SYC26),2024.0,1.0,1143.0
KELEBEK RESTAURANT Z2 (E-SYC26),2024.0,2.0,2395.0
KELEBEK RESTAURANT Z2 (E-SYC26),2024.0,3.0,2647.0
KELEBEK RESTAURANT Z2 (E-SYC26),2024.0,4.0,2314.0
KELEBEK RESTAURANT Z2 (E-SYC26),2024.0,5.0,4081.0
KELEBEK RESTAURANT Z2 (E-SYC26),2024.0,6.0,3860.0
KELEBEK RESTAURANT Z2 (E-SYC26),2024.0,7.0,4159.0
KELEBEK RESTAURANT Z2 (E-SYC26),2024.0,8.0,4808.0
