BuildingName,Year,Month,TotalUsage
KÜTÜPHANE BİNASI,2022.0,1.0,4000.0
KÜTÜPHANE BİNASI,2022.0,2.0,3987.0
KÜTÜPHANE BİNASI,2022.0,3.0,5022.0
KÜTÜPHANE BİNASI,2022.0,4.0,1469.0
KÜTÜPHANE BİNASI,2022.0,5.0,147.0
KÜTÜPHANE BİNASI,2022.0,6.0,157.0
KÜTÜPHANE BİNASI,2022.0,7.0,110.0
KÜTÜPHANE BİNASI,2022.0,8.0,104.0
KÜTÜPHANE BİNASI,2022.0,9.0,122.0
KÜTÜPHANE BİNASI,2022.0,10.0,193.0
KÜTÜPHANE BİNASI,2022.0,11.0,2682.0
KÜTÜPHANE BİNASI,2022.0,12.0,2342.0
KÜTÜPHANE BİNASI,2023.0,1.0,3306.0
KÜTÜPHANE BİNASI,2023.0,2.0,4103.0
KÜTÜPHANE BİNASI,2023.0,3.0,1659.0
KÜTÜPHANE BİNASI,2023.0,4.0,2213.0
KÜTÜPHANE BİNASI,2023.0,5.0,202.0
KÜTÜPHANE BİNASI,2023.0,6.0,394.0
KÜTÜPHANE BİNASI,2023.0,7.0,6.0
KÜTÜPHANE BİNASI,2023.0,8.0,30.0
KÜTÜPHANE BİNASI,2023.0,9.0,70.0
KÜTÜPHANE BİNASI,2023.0,10.0,24.0
KÜTÜPHANE BİNASI,2023.0,12.0,3475.0
KÜTÜPHANE BİNASI,2024.0,1.0,3993.0
KÜTÜPHANE BİNASI,2024.0,3.0,6652.0
KÜTÜPHANE BİNASI,2024.0,4.0,439.0
KÜTÜPHANE BİNASI,2024.0,5.0,602.0
KÜTÜPHANE BİNASI,2024.0,6.0,68.0
KÜTÜPHANE BİNASI,2024.0,7.0,100.0
KÜTÜPHANE BİNASI,2024.0,8.0,99.0
KÜTÜPHANE BİNASI,2024.0,9.0,100.0
