BuildingName,Year,Month,TotalUsage
KÜTÜPHANE KANTİN (E-SYC25),2022.0,1.0,3599.0
KÜTÜPHANE KANTİN (E-SYC25),2022.0,2.0,3816.0
KÜTÜPHANE KANTİN (E-SYC25),2022.0,3.0,1417.0
KÜTÜPHANE KANTİN (E-SYC25),2022.0,4.0,1252.0
KÜTÜPHANE KANTİN (E-SYC25),2022.0,5.0,716.0
KÜTÜPHANE KANTİN (E-SYC25),2022.0,6.0,1271.0
KÜTÜPHANE KANTİN (E-SYC25),2022.0,7.0,2065.0
KÜTÜPHANE KANTİN (E-SYC25),2022.0,8.0,1700.0
KÜTÜPHANE KANTİN (E-SYC25),2022.0,9.0,927.0
KÜTÜPHANE KANTİN (E-SYC25),2022.0,10.0,1210.0
KÜTÜPHANE KANTİN (E-SYC25),2022.0,11.0,1658.0
KÜTÜPHANE KANTİN (E-SYC25),2022.0,12.0,3067.0
KÜTÜPHANE KANTİN (E-SYC25),2023.0,1.0,1903.0
KÜTÜPHANE KANTİN (E-SYC25),2023.0,2.0,3063.0
KÜTÜPHANE KANTİN (E-SYC25),2023.0,3.0,3000.0
KÜTÜPHANE KANTİN (E-SYC25),2023.0,4.0,979.0
KÜTÜPHANE KANTİN (E-SYC25),2023.0,5.0,960.0
KÜTÜPHANE KANTİN (E-SYC25),2023.0,6.0,944.0
KÜTÜPHANE KANTİN (E-SYC25),2023.0,7.0,972.0
KÜTÜPHANE KANTİN (E-SYC25),2023.0,8.0,913.0
KÜTÜPHANE KANTİN (E-SYC25),2023.0,9.0,2000.0
KÜTÜPHANE KANTİN (E-SYC25),2023.0,10.0,2122.0
KÜTÜPHANE KANTİN (E-SYC25),2023.0,12.0,1626.0
KÜTÜPHANE KANTİN (E-SYC25),2024.0,1.0,2125.0
KÜTÜPHANE KANTİN (E-SYC25),2024.0,2.0,4300.0
KÜTÜPHANE KANTİN (E-SYC25),2024.0,3.0,3147.0
KÜTÜPHANE KANTİN (E-SYC25),2024.0,4.0,747.0
KÜTÜPHANE KANTİN (E-SYC25),2024.0,5.0,1512.0
KÜTÜPHANE KANTİN (E-SYC25),2024.0,6.0,2609.0
KÜTÜPHANE KANTİN (E-SYC25),2024.0,7.0,1700.0
KÜTÜPHANE KANTİN (E-SYC25),2024.0,8.0,2070.0
