BuildingName,Year,Month,TotalUsage
KİMYA - ÇEVRE BÖLÜMÜ',2022.0,1.0,2999.0
KİMYA - ÇEVRE BÖLÜMÜ',2022.0,2.0,3000.0
KİMYA - ÇEVRE BÖLÜMÜ',2022.0,3.0,3493.0
KİMYA - ÇEVRE BÖLÜMÜ',2022.0,4.0,1637.0
KİMYA - ÇEVRE BÖLÜMÜ',2022.0,5.0,58.0
KİMYA - ÇEVRE BÖLÜMÜ',2022.0,6.0,162.0
KİMYA - ÇEVRE BÖLÜMÜ',2022.0,7.0,25.0
KİMYA - ÇEVRE BÖLÜMÜ',2022.0,8.0,25.0
KİMYA - ÇEVRE BÖLÜMÜ',2022.0,9.0,10.0
KİMYA - ÇEVRE BÖLÜMÜ',2022.0,10.0,10.0
KİMYA - ÇEVRE BÖLÜMÜ',2022.0,11.0,1085.0
KİMYA - ÇEVRE BÖLÜMÜ',2022.0,12.0,1101.0
KİMYA - ÇEVRE BÖLÜMÜ',2023.0,1.0,1932.0
KİMYA - ÇEVRE BÖLÜMÜ',2023.0,2.0,4380.0
KİMYA - ÇEVRE BÖLÜMÜ',2023.0,3.0,1655.0
KİMYA - ÇEVRE BÖLÜMÜ',2023.0,4.0,1483.0
KİMYA - ÇEVRE BÖLÜMÜ',2023.0,5.0,295.0
KİMYA - ÇEVRE BÖLÜMÜ',2023.0,6.0,84.0
KİMYA - ÇEVRE BÖLÜMÜ',2023.0,7.0,5.0
KİMYA - ÇEVRE BÖLÜMÜ',2023.0,8.0,11.0
KİMYA - ÇEVRE BÖLÜMÜ',2023.0,9.0,40.0
KİMYA - ÇEVRE BÖLÜMÜ',2023.0,10.0,10.0
KİMYA - ÇEVRE BÖLÜMÜ',2023.0,12.0,1571.0
KİMYA - ÇEVRE BÖLÜMÜ',2024.0,1.0,1717.0
KİMYA - ÇEVRE BÖLÜMÜ',2024.0,3.0,1392.0
KİMYA - ÇEVRE BÖLÜMÜ',2024.0,4.0,203.0
KİMYA - ÇEVRE BÖLÜMÜ',2024.0,5.0,193.0
KİMYA - ÇEVRE BÖLÜMÜ',2024.0,6.0,19.0
KİMYA - ÇEVRE BÖLÜMÜ',2024.0,7.0,0.0
KİMYA - ÇEVRE BÖLÜMÜ',2024.0,8.0,0.0
KİMYA - ÇEVRE BÖLÜMÜ',2024.0,9.0,0.0
