BuildingName,Year,Month,TotalUsage
MALZEME BİLİM VE MÜHENDİSLİĞİ,2022.0,1.0,5000.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2022.0,2.0,5000.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2022.0,3.0,5000.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2022.0,4.0,5000.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2022.0,5.0,5000.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2022.0,6.0,1000.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2022.0,7.0,250.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2022.0,8.0,150.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2022.0,9.0,100.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2022.0,10.0,500.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2022.0,11.0,9000.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2022.0,12.0,5867.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2023.0,1.0,4133.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2023.0,2.0,11050.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2023.0,3.0,4000.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2023.0,4.0,4000.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2023.0,5.0,2000.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2023.0,6.0,200.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2023.0,7.0,100.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2023.0,8.0,200.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2023.0,9.0,200.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2023.0,10.0,300.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2023.0,12.0,5508.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2024.0,1.0,5492.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2024.0,3.0,7884.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2024.0,4.0,713.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2024.0,5.0,1092.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2024.0,6.0,188.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2024.0,7.0,100.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2024.0,8.0,103.0
MALZEME BİLİM VE MÜHENDİSLİĞİ,2024.0,9.0,90.0
