BuildingName,Year,Month,TotalUsage
MİSAFİRHANE,2022.0,1.0,1777.0
MİSAFİRHANE,2022.0,2.0,1414.0
MİSAFİRHANE,2022.0,3.0,1263.0
MİSAFİRHANE,2022.0,4.0,1000.0
MİSAFİRHANE,2022.0,5.0,774.0
MİSAFİRHANE,2022.0,6.0,195.0
MİSAFİRHANE,2022.0,7.0,187.0
MİSAFİRHANE,2022.0,8.0,178.0
MİSAFİRHANE,2022.0,9.0,187.0
MİSAFİRHANE,2022.0,10.0,262.0
MİSAFİRHANE,2022.0,11.0,1167.0
MİSAFİRHANE,2022.0,12.0,1144.0
MİSAFİRHANE,2023.0,1.0,1435.0
MİSAFİRHANE,2023.0,2.0,2695.0
MİSAFİRHANE,2023.0,3.0,951.0
MİSAFİRHANE,2023.0,4.0,988.0
MİSAFİRHANE,2023.0,5.0,483.0
MİSAFİRHANE,2023.0,6.0,200.0
MİSAFİRHANE,2023.0,7.0,192.0
MİSAFİRHANE,2023.0,8.0,184.0
MİSAFİRHANE,2023.0,9.0,140.0
MİSAFİRHANE,2023.0,10.0,284.0
MİSAFİRHANE,2023.0,12.0,1016.0
MİSAFİRHANE,2024.0,1.0,1210.0
MİSAFİRHANE,2024.0,3.0,896.0
MİSAFİRHANE,2024.0,4.0,422.0
MİSAFİRHANE,2024.0,5.0,565.0
MİSAFİRHANE,2024.0,6.0,172.0
MİSAFİRHANE,2024.0,7.0,120.0
MİSAFİRHANE,2024.0,8.0,153.0
MİSAFİRHANE,2024.0,9.0,95.0
