BuildingName,Year,Month,TotalUsage
PERSONEL YEMEKHANESİ,2022.0,1.0,1925.0
PERSONEL YEMEKHANESİ,2022.0,2.0,1849.0
PERSONEL YEMEKHANESİ,2022.0,3.0,1553.0
PERSONEL YEMEKHANESİ,2022.0,4.0,2800.0
PERSONEL YEMEKHANESİ,2022.0,5.0,2528.0
PERSONEL YEMEKHANESİ,2022.0,6.0,2433.0
PERSONEL YEMEKHANESİ,2022.0,7.0,1039.0
PERSONEL YEMEKHANESİ,2022.0,8.0,2484.0
PERSONEL YEMEKHANESİ,2022.0,9.0,2507.0
PERSONEL YEMEKHANESİ,2022.0,10.0,2600.0
PERSONEL YEMEKHANESİ,2022.0,11.0,5542.0
PERSONEL YEMEKHANESİ,2022.0,12.0,2986.0
PERSONEL YEMEKHANESİ,2023.0,1.0,2252.0
PERSONEL YEMEKHANESİ,2023.0,2.0,4880.0
PERSONEL YEMEKHANESİ,2023.0,3.0,2060.0
PERSONEL YEMEKHANESİ,2023.0,4.0,1223.0
PERSONEL YEMEKHANESİ,2023.0,5.0,717.0
PERSONEL YEMEKHANESİ,2023.0,6.0,1506.0
PERSONEL YEMEKHANESİ,2023.0,7.0,1494.0
PERSONEL YEMEKHANESİ,2023.0,8.0,1200.0
PERSONEL YEMEKHANESİ,2023.0,9.0,1719.0
PERSONEL YEMEKHANESİ,2023.0,10.0,3380.0
PERSONEL YEMEKHANESİ,2023.0,12.0,2691.0
PERSONEL YEMEKHANESİ,2024.0,1.0,1639.0
PERSONEL YEMEKHANESİ,2024.0,3.0,2601.0
PERSONEL YEMEKHANESİ,2024.0,4.0,1428.0
PERSONEL YEMEKHANESİ,2024.0,5.0,2691.0
PERSONEL YEMEKHANESİ,2024.0,6.0,1983.0
PERSONEL YEMEKHANESİ,2024.0,7.0,2810.0
PERSONEL YEMEKHANESİ,2024.0,8.0,2707.0
PERSONEL YEMEKHANESİ,2024.0,9.0,4657.0
