BuildingName,Year,Month,TotalUsage
PERSONELYEMEKHANESİ U2(E-SYC22),2022.0,1.0,3234.0
PERSONELYEMEKHANESİ U2(E-SYC22),2022.0,2.0,3251.0
PERSONELYEMEKHANESİ U2(E-SYC22),2022.0,3.0,3152.0
PERSONELYEMEKHANESİ U2(E-SYC22),2022.0,4.0,3708.0
PERSONELYEMEKHANESİ U2(E-SYC22),2022.0,5.0,3521.0
PERSONELYEMEKHANESİ U2(E-SYC22),2022.0,6.0,3568.0
PERSONELYEMEKHANESİ U2(E-SYC22),2022.0,7.0,6659.0
PERSONELYEMEKHANESİ U2(E-SYC22),2022.0,8.0,6500.0
PERSONELYEMEKHANESİ U2(E-SYC22),2022.0,9.0,9388.0
PERSONELYEMEKHANESİ U2(E-SYC22),2022.0,10.0,5958.0
PERSONELYEMEKHANESİ U2(E-SYC22),2022.0,11.0,12761.0
PERSONELYEMEKHANESİ U2(E-SYC22),2022.0,12.0,5639.0
PERSONELYEMEKHANESİ U2(E-SYC22),2023.0,1.0,587.0
PERSONELYEMEKHANESİ U2(E-SYC22),2023.0,2.0,12590.0
PERSONELYEMEKHANESİ U2(E-SYC22),2023.0,3.0,4188.0
PERSONELYEMEKHANESİ U2(E-SYC22),2023.0,4.0,5040.0
PERSONELYEMEKHANESİ U2(E-SYC22),2023.0,5.0,5031.0
PERSONELYEMEKHANESİ U2(E-SYC22),2023.0,6.0,4154.0
PERSONELYEMEKHANESİ U2(E-SYC22),2023.0,7.0,4203.0
PERSONELYEMEKHANESİ U2(E-SYC22),2023.0,8.0,4078.0
PERSONELYEMEKHANESİ U2(E-SYC22),2023.0,9.0,10597.0
PERSONELYEMEKHANESİ U2(E-SYC22),2023.0,10.0,6238.0
PERSONELYEMEKHANESİ U2(E-SYC22),2023.0,12.0,7000.0
PERSONELYEMEKHANESİ U2(E-SYC22),2024.0,1.0,6755.0
PERSONELYEMEKHANESİ U2(E-SYC22),2024.0,2.0,6522.0
PERSONELYEMEKHANESİ U2(E-SYC22),2024.0,3.0,5195.0
PERSONELYEMEKHANESİ U2(E-SYC22),2024.0,4.0,3981.0
PERSONELYEMEKHANESİ U2(E-SYC22),2024.0,5.0,3143.0
PERSONELYEMEKHANESİ U2(E-SYC22),2024.0,6.0,7815.0
PERSONELYEMEKHANESİ U2(E-SYC22),2024.0,7.0,6596.0
PERSONELYEMEKHANESİ U2(E-SYC22),2024.0,8.0,8387.0
