BuildingName,Year,Month,TotalUsage
REKTÖRLÜK-ERASMUS BİNASI,2022.0,1.0,2403.0
REKTÖRLÜK-ERASMUS BİNASI,2022.0,2.0,1904.0
REKTÖRLÜK-ERASMUS BİNASI,2022.0,3.0,2605.0
REKTÖRLÜK-ERASMUS BİNASI,2022.0,4.0,1846.0
REKTÖRLÜK-ERASMUS BİNASI,2022.0,5.0,125.0
REKTÖRLÜK-ERASMUS BİNASI,2022.0,6.0,125.0
REKTÖRLÜK-ERASMUS BİNASI,2022.0,7.0,118.0
REKTÖRLÜK-ERASMUS BİNASI,2022.0,8.0,122.0
REKTÖRLÜK-ERASMUS BİNASI,2022.0,9.0,135.0
REKTÖRLÜK-ERASMUS BİNASI,2022.0,10.0,168.0
REKTÖRLÜK-ERASMUS BİNASI,2022.0,11.0,1584.0
REKTÖRLÜK-ERASMUS BİNASI,2022.0,12.0,1576.0
REKTÖRLÜK-ERASMUS BİNASI,2023.0,1.0,1939.0
REKTÖRLÜK-ERASMUS BİNASI,2023.0,2.0,4992.0
REKTÖRLÜK-ERASMUS BİNASI,2023.0,3.0,1792.0
REKTÖRLÜK-ERASMUS BİNASI,2023.0,4.0,1799.0
REKTÖRLÜK-ERASMUS BİNASI,2023.0,5.0,593.0
REKTÖRLÜK-ERASMUS BİNASI,2023.0,6.0,250.0
REKTÖRLÜK-ERASMUS BİNASI,2023.0,7.0,103.0
REKTÖRLÜK-ERASMUS BİNASI,2023.0,8.0,98.0
REKTÖRLÜK-ERASMUS BİNASI,2023.0,9.0,79.0
REKTÖRLÜK-ERASMUS BİNASI,2023.0,10.0,138.0
REKTÖRLÜK-ERASMUS BİNASI,2023.0,12.0,1978.0
REKTÖRLÜK-ERASMUS BİNASI,2024.0,1.0,2232.0
REKTÖRLÜK-ERASMUS BİNASI,2024.0,3.0,2616.0
REKTÖRLÜK-ERASMUS BİNASI,2024.0,4.0,488.0
REKTÖRLÜK-ERASMUS BİNASI,2024.0,5.0,700.0
REKTÖRLÜK-ERASMUS BİNASI,2024.0,6.0,146.0
REKTÖRLÜK-ERASMUS BİNASI,2024.0,7.0,153.0
REKTÖRLÜK-ERASMUS BİNASI,2024.0,8.0,150.0
REKTÖRLÜK-ERASMUS BİNASI,2024.0,9.0,46.0
