BuildingName,Year,Month,TotalUsage
SPOR TESİSLERİ (E-SYC20),2022.0,1.0,28.0
SPOR TESİSLERİ (E-SYC20),2022.0,2.0,33.0
SPOR TESİSLERİ (E-SYC20),2022.0,3.0,34.0
SPOR TESİSLERİ (E-SYC20),2022.0,4.0,54.0
SPOR TESİSLERİ (E-SYC20),2022.0,5.0,93.0
SPOR TESİSLERİ (E-SYC20),2022.0,6.0,21.0
SPOR TESİSLERİ (E-SYC20),2022.0,7.0,16.0
SPOR TESİSLERİ (E-SYC20),2022.0,8.0,16.0
SPOR TESİSLERİ (E-SYC20),2022.0,9.0,8.0
SPOR TESİSLERİ (E-SYC20),2022.0,10.0,36.0
SPOR TESİSLERİ (E-SYC20),2022.0,11.0,15.0
SPOR TESİSLERİ (E-SYC20),2022.0,12.0,24.0
SPOR TESİSLERİ (E-SYC20),2023.0,1.0,44.0
SPOR TESİSLERİ (E-SYC20),2023.0,2.0,38.0
SPOR TESİSLERİ (E-SYC20),2023.0,3.0,31.0
SPOR TESİSLERİ (E-SYC20),2023.0,4.0,88.0
SPOR TESİSLERİ (E-SYC20),2023.0,5.0,63.0
SPOR TESİSLERİ (E-SYC20),2023.0,6.0,60.0
SPOR TESİSLERİ (E-SYC20),2023.0,7.0,65.0
SPOR TESİSLERİ (E-SYC20),2023.0,8.0,46.0
SPOR TESİSLERİ (E-SYC20),2023.0,9.0,81.0
SPOR TESİSLERİ (E-SYC20),2023.0,10.0,109.0
SPOR TESİSLERİ (E-SYC20),2023.0,12.0,76.0
SPOR TESİSLERİ (E-SYC20),2024.0,1.0,113.0
SPOR TESİSLERİ (E-SYC20),2024.0,2.0,90.0
SPOR TESİSLERİ (E-SYC20),2024.0,3.0,72.0
SPOR TESİSLERİ (E-SYC20),2024.0,4.0,18.0
SPOR TESİSLERİ (E-SYC20),2024.0,5.0,26.0
SPOR TESİSLERİ (E-SYC20),2024.0,6.0,54.0
SPOR TESİSLERİ (E-SYC20),2024.0,7.0,67.0
SPOR TESİSLERİ (E-SYC20),2024.0,8.0,84.0
