BuildingName,Year,Month,TotalUsage
TEKNOPARK ANA BİNA (E-SYC13),2022.0,1.0,493.0
TEKNOPARK ANA BİNA (E-SYC13),2022.0,2.0,818.0
TEKNOPARK ANA BİNA (E-SYC13),2022.0,3.0,240.0
TEKNOPARK ANA BİNA (E-SYC13),2022.0,4.0,795.0
TEKNOPARK ANA BİNA (E-SYC13),2022.0,5.0,1520.0
TEKNOPARK ANA BİNA (E-SYC13),2022.0,6.0,1781.0
TEKNOPARK ANA BİNA (E-SYC13),2022.0,7.0,1541.0
TEKNOPARK ANA BİNA (E-SYC13),2022.0,8.0,1407.0
TEKNOPARK ANA BİNA (E-SYC13),2022.0,9.0,4270.0
TEKNOPARK ANA BİNA (E-SYC13),2022.0,10.0,2357.0
TEKNOPARK ANA BİNA (E-SYC13),2022.0,11.0,2102.0
TEKNOPARK ANA BİNA (E-SYC13),2022.0,12.0,1783.0
TEKNOPARK ANA BİNA (E-SYC13),2023.0,1.0,2149.0
TEKNOPARK ANA BİNA (E-SYC13),2023.0,2.0,2824.0
TEKNOPARK ANA BİNA (E-SYC13),2023.0,3.0,3250.0
TEKNOPARK ANA BİNA (E-SYC13),2023.0,4.0,2750.0
TEKNOPARK ANA BİNA (E-SYC13),2023.0,5.0,459.0
TEKNOPARK ANA BİNA (E-SYC13),2023.0,6.0,1400.0
TEKNOPARK ANA BİNA (E-SYC13),2023.0,7.0,482.0
TEKNOPARK ANA BİNA (E-SYC13),2023.0,8.0,552.0
TEKNOPARK ANA BİNA (E-SYC13),2023.0,9.0,465.0
TEKNOPARK ANA BİNA (E-SYC13),2023.0,10.0,1110.0
TEKNOPARK ANA BİNA (E-SYC13),2023.0,12.0,1112.0
TEKNOPARK ANA BİNA (E-SYC13),2024.0,1.0,662.0
TEKNOPARK ANA BİNA (E-SYC13),2024.0,2.0,371.0
TEKNOPARK ANA BİNA (E-SYC13),2024.0,3.0,629.0
TEKNOPARK ANA BİNA (E-SYC13),2024.0,4.0,117.0
TEKNOPARK ANA BİNA (E-SYC13),2024.0,5.0,1451.0
TEKNOPARK ANA BİNA (E-SYC13),2024.0,6.0,2484.0
TEKNOPARK ANA BİNA (E-SYC13),2024.0,7.0,2857.0
TEKNOPARK ANA BİNA (E-SYC13),2024.0,8.0,3683.0
