BuildingName,Year,Month,TotalUsage
TEKNOPARK KONTEYNER (E-SYC17),2022.0,1.0,2343.0
TEKNOPARK KONTEYNER (E-SYC17),2022.0,2.0,1262.0
TEKNOPARK KONTEYNER (E-SYC17),2022.0,3.0,4322.0
TEKNOPARK KONTEYNER (E-SYC17),2022.0,4.0,3154.0
TEKNOPARK KONTEYNER (E-SYC17),2022.0,5.0,5211.0
TEKNOPARK KONTEYNER (E-SYC17),2022.0,6.0,1524.0
TEKNOPARK KONTEYNER (E-SYC17),2022.0,7.0,3449.0
TEKNOPARK KONTEYNER (E-SYC17),2022.0,8.0,2795.0
TEKNOPARK KONTEYNER (E-SYC17),2022.0,9.0,2507.0
TEKNOPARK KONTEYNER (E-SYC17),2022.0,10.0,2284.0
TEKNOPARK KONTEYNER (E-SYC17),2022.0,11.0,4228.0
TEKNOPARK KONTEYNER (E-SYC17),2022.0,12.0,1357.0
TEKNOPARK KONTEYNER (E-SYC17),2023.0,1.0,588.0
TEKNOPARK KONTEYNER (E-SYC17),2023.0,2.0,473.0
TEKNOPARK KONTEYNER (E-SYC17),2023.0,3.0,1197.0
TEKNOPARK KONTEYNER (E-SYC17),2023.0,4.0,2000.0
TEKNOPARK KONTEYNER (E-SYC17),2023.0,5.0,2670.0
TEKNOPARK KONTEYNER (E-SYC17),2023.0,6.0,2165.0
TEKNOPARK KONTEYNER (E-SYC17),2023.0,7.0,3003.0
TEKNOPARK KONTEYNER (E-SYC17),2023.0,8.0,2005.0
TEKNOPARK KONTEYNER (E-SYC17),2023.0,9.0,1018.0
TEKNOPARK KONTEYNER (E-SYC17),2023.0,10.0,1014.0
TEKNOPARK KONTEYNER (E-SYC17),2023.0,12.0,800.0
TEKNOPARK KONTEYNER (E-SYC17),2024.0,1.0,1919.0
TEKNOPARK KONTEYNER (E-SYC17),2024.0,2.0,1502.0
TEKNOPARK KONTEYNER (E-SYC17),2024.0,3.0,1448.0
TEKNOPARK KONTEYNER (E-SYC17),2024.0,4.0,1481.0
TEKNOPARK KONTEYNER (E-SYC17),2024.0,5.0,1185.0
TEKNOPARK KONTEYNER (E-SYC17),2024.0,6.0,2967.0
TEKNOPARK KONTEYNER (E-SYC17),2024.0,7.0,1695.0
TEKNOPARK KONTEYNER (E-SYC17),2024.0,8.0,1786.0
