BuildingName,Year,Month,TotalUsage
TEKNOPARK PREFABRİK (E-SYC16),2022.0,8.0,6.0
TEKNOPARK PREFABRİK (E-SYC16),2022.0,9.0,14.0
TEKNOPARK PREFABRİK (E-SYC16),2022.0,10.0,9.0
TEKNOPARK PREFABRİK (E-SYC16),2022.0,11.0,13.0
TEKNOPARK PREFABRİK (E-SYC16),2022.0,12.0,34.0
TEKNOPARK PREFABRİK (E-SYC16),2023.0,1.0,100.0
TEKNOPARK PREFABRİK (E-SYC16),2023.0,2.0,155.0
TEKNOPARK PREFABRİK (E-SYC16),2023.0,3.0,188.0
TEKNOPARK PREFABRİK (E-SYC16),2023.0,4.0,163.0
TEKNOPARK PREFABRİK (E-SYC16),2023.0,5.0,164.0
TEKNOPARK PREFABRİK (E-SYC16),2023.0,6.0,72.0
TEKNOPARK PREFABRİK (E-SYC16),2023.0,7.0,75.0
TEKNOPARK PREFABRİK (E-SYC16),2023.0,8.0,67.0
TEKNOPARK PREFABRİK (E-SYC16),2023.0,9.0,37.0
TEKNOPARK PREFABRİK (E-SYC16),2023.0,10.0,56.0
TEKNOPARK PREFABRİK (E-SYC16),2023.0,12.0,76.0
TEKNOPARK PREFABRİK (E-SYC16),2024.0,1.0,37.0
TEKNOPARK PREFABRİK (E-SYC16),2024.0,2.0,51.0
TEKNOPARK PREFABRİK (E-SYC16),2024.0,3.0,44.0
TEKNOPARK PREFABRİK (E-SYC16),2024.0,4.0,59.0
TEKNOPARK PREFABRİK (E-SYC16),2024.0,5.0,35.0
TEKNOPARK PREFABRİK (E-SYC16),2024.0,6.0,84.0
TEKNOPARK PREFABRİK (E-SYC16),2024.0,7.0,101.0
TEKNOPARK PREFABRİK (E-SYC16),2024.0,8.0,141.0
