BuildingName,Year,Month,TotalUsage
TENİS KORTU (E-SYC21),2022.0,2.0,311.0
TENİS KORTU (E-SYC21),2022.0,3.0,511.0
TENİS KORTU (E-SYC21),2022.0,4.0,368.0
TENİS KORTU (E-SYC21),2022.0,5.0,551.0
TENİS KORTU (E-SYC21),2022.0,6.0,1.0
TENİS KORTU (E-SYC21),2022.0,7.0,2.0
TENİS KORTU (E-SYC21),2022.0,8.0,22.0
TENİS KORTU (E-SYC21),2022.0,9.0,1.0
TENİS KORTU (E-SYC21),2022.0,10.0,31.0
TENİS KORTU (E-SYC21),2022.0,11.0,33.0
TENİS KORTU (E-SYC21),2022.0,12.0,32.0
TENİS KORTU (E-SYC21),2023.0,1.0,94.0
TENİS KORTU (E-SYC21),2023.0,2.0,1316.0
TENİS KORTU (E-SYC21),2023.0,3.0,1363.0
TENİS KORTU (E-SYC21),2023.0,4.0,1326.0
TENİS KORTU (E-SYC21),2023.0,5.0,987.0
TENİS KORTU (E-SYC21),2023.0,6.0,26.0
TENİS KORTU (E-SYC21),2023.0,7.0,3.0
TENİS KORTU (E-SYC21),2023.0,8.0,1.0
TENİS KORTU (E-SYC21),2023.0,9.0,1.0
TENİS KORTU (E-SYC21),2023.0,10.0,74.0
TENİS KORTU (E-SYC21),2023.0,12.0,1550.0
TENİS KORTU (E-SYC21),2024.0,1.0,906.0
TENİS KORTU (E-SYC21),2024.0,2.0,776.0
TENİS KORTU (E-SYC21),2024.0,3.0,715.0
TENİS KORTU (E-SYC21),2024.0,4.0,42.0
TENİS KORTU (E-SYC21),2024.0,5.0,48.0
TENİS KORTU (E-SYC21),2024.0,6.0,56.0
TENİS KORTU (E-SYC21),2024.0,7.0,28.0
TENİS KORTU (E-SYC21),2024.0,8.0,79.0
