BuildingName,Year,Month,TotalUsage
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2022.0,1.0,550.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2022.0,2.0,550.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2022.0,3.0,550.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2022.0,4.0,664.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2022.0,5.0,150.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2022.0,6.0,10.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2022.0,7.0,10.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2022.0,8.0,10.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2022.0,9.0,10.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2022.0,10.0,10.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2022.0,11.0,570.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2022.0,12.0,550.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2023.0,1.0,700.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2023.0,2.0,1299.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2023.0,3.0,300.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2023.0,4.0,200.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2023.0,5.0,200.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2023.0,6.0,49.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2023.0,7.0,10.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2023.0,8.0,1.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2023.0,9.0,10.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2023.0,10.0,10.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2023.0,12.0,649.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2024.0,1.0,451.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2024.0,3.0,541.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2024.0,4.0,121.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2024.0,5.0,188.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2024.0,6.0,55.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2024.0,7.0,44.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2024.0,8.0,52.0
YAPI İŞLERİ TEKNİK DAİRE BAŞKAN,2024.0,9.0,49.0
