BuildingName,Year,Month,TotalUsage
YURT ŞANTİYESİ (E-SYC35),2023.0,7.0,327.0
YURT ŞANTİYESİ (E-SYC35),2023.0,8.0,111.0
YURT ŞANTİYESİ (E-SYC35),2023.0,9.0,323.0
YURT ŞANTİYESİ (E-SYC35),2023.0,10.0,323.0
YURT ŞANTİYESİ (E-SYC35),2023.0,12.0,385.0
YURT ŞANTİYESİ (E-SYC35),2024.0,1.0,436.0
YURT ŞANTİYESİ (E-SYC35),2024.0,2.0,487.0
YURT ŞANTİYESİ (E-SYC35),2024.0,3.0,501.0
YURT ŞANTİYESİ (E-SYC35),2024.0,4.0,267.0
YURT ŞANTİYESİ (E-SYC35),2024.0,5.0,480.0
YURT ŞANTİYESİ (E-SYC35),2024.0,6.0,203.0
YURT ŞANTİYESİ (E-SYC35),2024.0,7.0,332.0
YURT ŞANTİYESİ (E-SYC35),2024.0,8.0,382.0
