OCAK	31.01.2022	E-SYC1	 8.752 	 8.878 	 126,03 	695.691,1200000
ŞUBAT	28.02.2022	E-SYC1	 8.878 	 8.981 	 103,14 	569.343,8400000
MART	31.03.2022	E-SYC1	 8.981 	 9.106 	 125,06 	690.336,7200000
NİSAN	30.04.2022	E-SYC1	 9.106 	 9.202 	 96,17 	530.858,4000000
MAYIS	31.05.2022	E-SYC1	 9.202 	 9.298 	 95,35 	526.337,5200000
HAZİRAN	30.06.2022	E-SYC1	 9.298 	 9.405 	 106,89 	590.032,8000000
TEMMUZ	31.07.2022	E-SYC1	 9.405 	 9.511 	 106,77 	589.381,4400000
AĞUSTOS	31.08.2022	E-SYC1	 9.511 	 9.642 	 130,09 	718.124,4000000
EYLÜL	30.09.2022	E-SYC1	 9.642 	 9.739 	 97,14 	536.207,2800000
EKİM	31.10.2022	E-SYC1	 9.739 	 9.805 	 66,53 	367.234,5600000
KASIM	30.11.2022	E-SYC1	 9.805 	 9.911 	 105,66 	583.243,2000000
ARALIK	26.12.2022	E-SYC1	 9.911 	 10.029 	 118,17 	652.326,0000000
OCAK	31.01.2023	E-SYC1	10.029,081 	10.145,582 	 116,50 	643.085,5200000
ŞUBAT	28.02.2023	E-SYC1	10.145,582 	10.248,346 	 102,76 	567.257,2800000
MART	31.03.2023	E-SYC1	10.248,346 	10.351,781 	 103,44 	570.961,2000000
NİSAN	30.04.2023	E-SYC1	10.351,781 	10.442,150 	 90,37 	498.836,8800000
MAYIS	31.05.2023	E-SYC1	10.442,150 	10.534,986 	 92,84 	512.454,7200000
HAZİRAN	30.06.2023	E-SYC1	10.534,986 	10.626,359 	 91,37 	504.378,9600000
TEMMUZ	31.07.2023	E-SYC1	10.626,359 	10.755,301 	 128,94 	711.759,8400000
AĞUSTOS	31.08.2023	E-SYC1	10.755,301 	10.889,148 	 133,85 	738.835,4400000
EYLÜL	30.09.2023	E-SYC1	10.889,148 	10.994,409 	 105,26 	581.040,7200000
EKİM	31.10.2023	E-SYC1	10.994,409 	11.096,932 	 102,52 	565.926,9600000
KASIM	30.11.2023	E-SYC1	11.096,932 	11.212,074 	 115,14 	635.583,8400000
ARALIK	20.12.2023	E-SYC1	11.212,074 	11.345,000 	 132,93 	733.751,5200000
OCAK	31.01.2024	E-SYC1	11.345,000 	11.471,826 	 126,83 	700.079,5200000
ŞUBAT	29.02.2024	E-SYC1	11.471,826 	11.582,765 	 110,94 	612.383,2800000
MART	31.03.2024	E-SYC1	11.582,765 	11.698,538 	 115,77 	639.066,9600000
NİSAN	30.04.2024	E-SYC1	11.698,538 	11.789,304 	 90,77 	501.028,3200000
MAYIS	31.05.2024	E-SYC1	11.789,304 	11.895,130 	 105,83 	584.159,5200000
HAZİRAN	30.06.2024	E-SYC1	11.895,130 	12.020,454 	 125,32 	691.788,4800000
TEMMUZ	31.07.2024	E-SYC1	12.020,454 	12.169,349 	 148,90 	821.900,4000000
AĞUSTOS	31.08.2024	E-SYC1	12.169,349 	12.306,103 	 136,75 	754.882,0800000
