BuildingName,Year,Month,TotalUsage
ANAOKULU Z BLOK (E-SYC12),2022.0,1.0,365.0
ANAOKULU Z BLOK (E-SYC12),2022.0,2.0,272.0
ANAOKULU Z BLOK (E-SYC12),2022.0,3.0,258.0
ANAOKULU Z BLOK (E-SYC12),2022.0,4.0,2043.0
ANAOKULU Z BLOK (E-SYC12),2022.0,5.0,979.0
ANAOKULU Z BLOK (E-SYC12),2022.0,6.0,1083.0
ANAOKULU Z BLOK (E-SYC12),2022.0,7.0,676.0
ANAOKULU Z BLOK (E-SYC12),2022.0,8.0,684.0
ANAOKULU Z BLOK (E-SYC12),2022.0,9.0,772.0
ANAOKULU Z BLOK (E-SYC12),2022.0,10.0,750.0
ANAOKULU Z BLOK (E-SYC12),2022.0,11.0,1301.0
ANAOKULU Z BLOK (E-SYC12),2022.0,12.0,780.0
ANAOKULU Z BLOK (E-SYC12),2023.0,1.0,1619.0
ANAOKULU Z BLOK (E-SYC12),2023.0,2.0,920.0
ANAOKULU Z BLOK (E-SYC12),2023.0,3.0,945.0
ANAOKULU Z BLOK (E-SYC12),2023.0,4.0,1022.0
ANAOKULU Z BLOK (E-SYC12),2023.0,5.0,919.0
ANAOKULU Z BLOK (E-SYC12),2023.0,6.0,1045.0
ANAOKULU Z BLOK (E-SYC12),2023.0,7.0,1156.0
ANAOKULU Z BLOK (E-SYC12),2023.0,8.0,1206.0
ANAOKULU Z BLOK (E-SYC12),2023.0,9.0,1189.0
ANAOKULU Z BLOK (E-SYC12),2023.0,10.0,1261.0
ANAOKULU Z BLOK (E-SYC12),2023.0,12.0,400.0
ANAOKULU Z BLOK (E-SYC12),2024.0,1.0,800.0
ANAOKULU Z BLOK (E-SYC12),2024.0,2.0,1059.0
ANAOKULU Z BLOK (E-SYC12),2024.0,3.0,2926.0
ANAOKULU Z BLOK (E-SYC12),2024.0,4.0,2528.0
ANAOKULU Z BLOK (E-SYC12),2024.0,5.0,400.0
ANAOKULU Z BLOK (E-SYC12),2024.0,6.0,1521.0
ANAOKULU Z BLOK (E-SYC12),2024.0,7.0,1519.0
ANAOKULU Z BLOK (E-SYC12),2024.0,8.0,1650.0
