BuildingName,Year,Month,TotalUsage
BANKAMATİK HALKBANK (E-SYC19),2022.0,1.0,309.0
BANKAMATİK HALKBANK (E-SYC19),2022.0,2.0,297.0
BANKAMATİK HALKBANK (E-SYC19),2022.0,3.0,333.0
BANKAMATİK HALKBANK (E-SYC19),2022.0,4.0,324.0
BANKAMATİK HALKBANK (E-SYC19),2022.0,5.0,408.0
BANKAMATİK HALKBANK (E-SYC19),2022.0,6.0,377.0
BANKAMATİK HALKBANK (E-SYC19),2022.0,7.0,435.0
BANKAMATİK HALKBANK (E-SYC19),2022.0,8.0,323.0
BANKAMATİK HALKBANK (E-SYC19),2022.0,9.0,345.0
BANKAMATİK HALKBANK (E-SYC19),2022.0,10.0,345.0
BANKAMATİK HALKBANK (E-SYC19),2022.0,11.0,304.0
BANKAMATİK HALKBANK (E-SYC19),2022.0,12.0,349.0
BANKAMATİK HALKBANK (E-SYC19),2023.0,1.0,203.0
BANKAMATİK HALKBANK (E-SYC19),2023.0,2.0,221.0
BANKAMATİK HALKBANK (E-SYC19),2023.0,3.0,210.0
BANKAMATİK HALKBANK (E-SYC19),2023.0,4.0,265.0
BANKAMATİK HALKBANK (E-SYC19),2023.0,5.0,212.0
BANKAMATİK HALKBANK (E-SYC19),2023.0,6.0,232.0
BANKAMATİK HALKBANK (E-SYC19),2023.0,7.0,200.0
BANKAMATİK HALKBANK (E-SYC19),2023.0,8.0,247.0
BANKAMATİK HALKBANK (E-SYC19),2023.0,9.0,211.0
BANKAMATİK HALKBANK (E-SYC19),2023.0,10.0,254.0
BANKAMATİK HALKBANK (E-SYC19),2023.0,12.0,262.0
BANKAMATİK HALKBANK (E-SYC19),2024.0,1.0,238.0
BANKAMATİK HALKBANK (E-SYC19),2024.0,2.0,204.0
BANKAMATİK HALKBANK (E-SYC19),2024.0,3.0,265.0
BANKAMATİK HALKBANK (E-SYC19),2024.0,4.0,253.0
BANKAMATİK HALKBANK (E-SYC19),2024.0,5.0,355.0
BANKAMATİK HALKBANK (E-SYC19),2024.0,6.0,239.0
BANKAMATİK HALKBANK (E-SYC19),2024.0,7.0,205.0
BANKAMATİK HALKBANK (E-SYC19),2024.0,8.0,192.0
