BuildingName,Year,Month,TotalUsage
BANKAMATİK İŞBANKASI (E-SYC18),2022.0,1.0,633.0
BANKAMATİK İŞBANKASI (E-SYC18),2022.0,2.0,569.0
BANKAMATİK İŞBANKASI (E-SYC18),2022.0,3.0,765.0
BANKAMATİK İŞBANKASI (E-SYC18),2022.0,4.0,724.0
BANKAMATİK İŞBANKASI (E-SYC18),2022.0,5.0,853.0
BANKAMATİK İŞBANKASI (E-SYC18),2022.0,6.0,1299.0
BANKAMATİK İŞBANKASI (E-SYC18),2022.0,7.0,934.0
BANKAMATİK İŞBANKASI (E-SYC18),2022.0,8.0,1056.0
BANKAMATİK İŞBANKASI (E-SYC18),2022.0,9.0,1025.0
BANKAMATİK İŞBANKASI (E-SYC18),2022.0,10.0,1233.0
BANKAMATİK İŞBANKASI (E-SYC18),2022.0,11.0,752.0
BANKAMATİK İŞBANKASI (E-SYC18),2022.0,12.0,882.0
BANKAMATİK İŞBANKASI (E-SYC18),2023.0,1.0,1000.0
BANKAMATİK İŞBANKASI (E-SYC18),2023.0,2.0,823.0
BANKAMATİK İŞBANKASI (E-SYC18),2023.0,3.0,910.0
BANKAMATİK İŞBANKASI (E-SYC18),2023.0,4.0,877.0
BANKAMATİK İŞBANKASI (E-SYC18),2023.0,5.0,866.0
BANKAMATİK İŞBANKASI (E-SYC18),2023.0,6.0,881.0
BANKAMATİK İŞBANKASI (E-SYC18),2023.0,7.0,998.0
BANKAMATİK İŞBANKASI (E-SYC18),2023.0,8.0,1283.0
BANKAMATİK İŞBANKASI (E-SYC18),2023.0,9.0,1117.0
BANKAMATİK İŞBANKASI (E-SYC18),2023.0,10.0,1370.0
BANKAMATİK İŞBANKASI (E-SYC18),2023.0,12.0,849.0
BANKAMATİK İŞBANKASI (E-SYC18),2024.0,1.0,1087.0
BANKAMATİK İŞBANKASI (E-SYC18),2024.0,2.0,920.0
BANKAMATİK İŞBANKASI (E-SYC18),2024.0,3.0,988.0
BANKAMATİK İŞBANKASI (E-SYC18),2024.0,4.0,689.0
BANKAMATİK İŞBANKASI (E-SYC18),2024.0,5.0,686.0
BANKAMATİK İŞBANKASI (E-SYC18),2024.0,6.0,623.0
BANKAMATİK İŞBANKASI (E-SYC18),2024.0,7.0,601.0
BANKAMATİK İŞBANKASI (E-SYC18),2024.0,8.0,418.0
