BuildingName,Year,Month,TotalUsage
BAZ İSTASYONUTURKCEL (E-SYC08),2022.0,1.0,3942.0
BAZ İSTASYONUTURKCEL (E-SYC08),2022.0,2.0,3341.0
BAZ İSTASYONUTURKCEL (E-SYC08),2022.0,3.0,3340.0
BAZ İSTASYONUTURKCEL (E-SYC08),2022.0,4.0,3341.0
BAZ İSTASYONUTURKCEL (E-SYC08),2022.0,5.0,3343.0
BAZ İSTASYONUTURKCEL (E-SYC08),2022.0,6.0,3290.0
BAZ İSTASYONUTURKCEL (E-SYC08),2022.0,7.0,3396.0
BAZ İSTASYONUTURKCEL (E-SYC08),2022.0,8.0,3117.0
BAZ İSTASYONUTURKCEL (E-SYC08),2022.0,9.0,2561.0
BAZ İSTASYONUTURKCEL (E-SYC08),2022.0,10.0,3100.0
BAZ İSTASYONUTURKCEL (E-SYC08),2022.0,11.0,3124.0
BAZ İSTASYONUTURKCEL (E-SYC08),2022.0,12.0,3295.0
BAZ İSTASYONUTURKCEL (E-SYC08),2023.0,1.0,3122.0
BAZ İSTASYONUTURKCEL (E-SYC08),2023.0,2.0,2950.0
BAZ İSTASYONUTURKCEL (E-SYC08),2023.0,3.0,2987.0
BAZ İSTASYONUTURKCEL (E-SYC08),2023.0,4.0,3102.0
BAZ İSTASYONUTURKCEL (E-SYC08),2023.0,5.0,3340.0
BAZ İSTASYONUTURKCEL (E-SYC08),2023.0,6.0,3968.0
BAZ İSTASYONUTURKCEL (E-SYC08),2023.0,7.0,3311.0
BAZ İSTASYONUTURKCEL (E-SYC08),2023.0,8.0,3347.0
BAZ İSTASYONUTURKCEL (E-SYC08),2023.0,9.0,3328.0
BAZ İSTASYONUTURKCEL (E-SYC08),2023.0,10.0,2656.0
BAZ İSTASYONUTURKCEL (E-SYC08),2023.0,12.0,1875.0
BAZ İSTASYONUTURKCEL (E-SYC08),2024.0,1.0,3301.0
BAZ İSTASYONUTURKCEL (E-SYC08),2024.0,2.0,2432.0
BAZ İSTASYONUTURKCEL (E-SYC08),2024.0,3.0,4316.0
BAZ İSTASYONUTURKCEL (E-SYC08),2024.0,4.0,4318.0
BAZ İSTASYONUTURKCEL (E-SYC08),2024.0,5.0,2973.0
BAZ İSTASYONUTURKCEL (E-SYC08),2024.0,6.0,3894.0
BAZ İSTASYONUTURKCEL (E-SYC08),2024.0,7.0,2357.0
BAZ İSTASYONUTURKCEL (E-SYC08),2024.0,8.0,2076.0
