BuildingName,Year,Month,TotalUsage
BAZ İSTASYONUTÜRKTLK (E-SYC09),2022.0,1.0,3408.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2022.0,2.0,3501.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2022.0,3.0,3460.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2022.0,4.0,3541.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2022.0,5.0,3687.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2022.0,6.0,3667.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2022.0,7.0,4188.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2022.0,8.0,3548.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2022.0,9.0,3478.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2022.0,10.0,3687.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2022.0,11.0,3598.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2022.0,12.0,3870.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2023.0,1.0,3684.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2023.0,2.0,3603.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2023.0,3.0,3608.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2023.0,4.0,3581.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2023.0,5.0,2689.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2023.0,6.0,2976.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2023.0,7.0,3017.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2023.0,8.0,3562.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2023.0,9.0,3211.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2023.0,10.0,2680.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2023.0,12.0,2174.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2024.0,1.0,3218.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2024.0,2.0,2954.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2024.0,3.0,3006.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2024.0,4.0,3952.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2024.0,5.0,4484.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2024.0,6.0,3680.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2024.0,7.0,3061.0
BAZ İSTASYONUTÜRKTLK (E-SYC09),2024.0,8.0,3038.0
