BuildingName,Year,Month,TotalUsage
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2022.0,1.0,2773.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2022.0,2.0,1577.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2022.0,3.0,2131.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2022.0,4.0,2222.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2022.0,5.0,1270.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2022.0,6.0,693.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2022.0,7.0,517.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2022.0,8.0,874.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2022.0,9.0,800.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2022.0,10.0,793.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2022.0,11.0,663.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2022.0,12.0,826.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2023.0,1.0,1050.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2023.0,2.0,1099.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2023.0,3.0,908.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2023.0,4.0,2597.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2023.0,5.0,1285.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2023.0,6.0,901.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2023.0,7.0,747.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2023.0,8.0,702.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2023.0,9.0,760.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2023.0,10.0,814.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2023.0,12.0,1621.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2024.0,1.0,1100.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2024.0,2.0,3499.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2024.0,3.0,1568.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2024.0,4.0,465.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2024.0,5.0,822.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2024.0,6.0,676.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2024.0,7.0,913.0
FOTOKOPİ MERKEZİ J3 B (E-SYC10),2024.0,8.0,813.0
