BuildingName,Year,Month,TotalUsage
MALZEME BİNASI (E-SYC03),2022.0,1.0,74.0
MALZEME BİNASI (E-SYC03),2022.0,2.0,91.0
MALZEME BİNASI (E-SYC03),2022.0,3.0,96.0
MALZEME BİNASI (E-SYC03),2022.0,4.0,94.0
MALZEME BİNASI (E-SYC03),2022.0,5.0,95.0
MALZEME BİNASI (E-SYC03),2022.0,6.0,99.0
MALZEME BİNASI (E-SYC03),2022.0,7.0,98.0
MALZEME BİNASI (E-SYC03),2022.0,8.0,97.0
MALZEME BİNASI (E-SYC03),2022.0,9.0,99.0
MALZEME BİNASI (E-SYC03),2022.0,10.0,98.0
MALZEME BİNASI (E-SYC03),2022.0,11.0,98.0
MALZEME BİNASI (E-SYC03),2022.0,12.0,97.0
MALZEME BİNASI (E-SYC03),2023.0,1.0,95.0
MALZEME BİNASI (E-SYC03),2023.0,2.0,98.0
MALZEME BİNASI (E-SYC03),2023.0,3.0,97.0
MALZEME BİNASI (E-SYC03),2023.0,4.0,95.0
MALZEME BİNASI (E-SYC03),2023.0,5.0,98.0
MALZEME BİNASI (E-SYC03),2023.0,6.0,99.0
MALZEME BİNASI (E-SYC03),2023.0,7.0,97.0
MALZEME BİNASI (E-SYC03),2023.0,8.0,96.0
MALZEME BİNASI (E-SYC03),2023.0,9.0,97.0
MALZEME BİNASI (E-SYC03),2023.0,10.0,98.0
MALZEME BİNASI (E-SYC03),2023.0,12.0,99.0
MALZEME BİNASI (E-SYC03),2024.0,1.0,97.0
MALZEME BİNASI (E-SYC03),2024.0,2.0,97.0
MALZEME BİNASI (E-SYC03),2024.0,3.0,98.0
MALZEME BİNASI (E-SYC03),2024.0,4.0,98.0
MALZEME BİNASI (E-SYC03),2024.0,5.0,99.0
