BuildingName,Year,Month,TotalUsage
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2022.0,1.0,8202.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2022.0,2.0,9405.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2022.0,3.0,9252.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2022.0,4.0,12924.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2022.0,5.0,7493.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2022.0,6.0,9862.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2022.0,7.0,7504.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2022.0,8.0,19961.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2022.0,9.0,8472.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2022.0,10.0,6048.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2022.0,11.0,4931.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2022.0,12.0,9520.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2023.0,1.0,8951.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2023.0,2.0,9859.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2023.0,3.0,4912.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2023.0,4.0,5174.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2023.0,5.0,3541.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2023.0,7.0,329.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2023.0,8.0,318.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2023.0,9.0,323.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2023.0,10.0,296.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2023.0,12.0,412.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2024.0,1.0,457.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2024.0,2.0,335.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2024.0,3.0,224.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2024.0,4.0,197.0
SAHİLTESİSLERİ B4 BLOK(E-SYC07),2024.0,5.0,321.0
