BuildingName,Year,Month,TotalUsage
SEM KANTİN (E-SYC27),2022.0,1.0,81.0
SEM KANTİN (E-SYC27),2022.0,2.0,259.0
SEM KANTİN (E-SYC27),2022.0,3.0,207.0
SEM KANTİN (E-SYC27),2022.0,4.0,179.0
SEM KANTİN (E-SYC27),2022.0,5.0,283.0
SEM KANTİN (E-SYC27),2022.0,6.0,149.0
SEM KANTİN (E-SYC27),2022.0,9.0,541.0
SEM KANTİN (E-SYC27),2022.0,10.0,409.0
SEM KANTİN (E-SYC27),2022.0,11.0,280.0
SEM KANTİN (E-SYC27),2022.0,12.0,138.0
SEM KANTİN (E-SYC27),2023.0,1.0,250.0
SEM KANTİN (E-SYC27),2023.0,2.0,92.0
SEM KANTİN (E-SYC27),2023.0,3.0,157.0
SEM KANTİN (E-SYC27),2023.0,4.0,173.0
SEM KANTİN (E-SYC27),2023.0,5.0,81.0
SEM KANTİN (E-SYC27),2023.0,6.0,44.0
SEM KANTİN (E-SYC27),2023.0,12.0,154.0
SEM KANTİN (E-SYC27),2024.0,1.0,201.0
SEM KANTİN (E-SYC27),2024.0,2.0,171.0
SEM KANTİN (E-SYC27),2024.0,3.0,136.0
SEM KANTİN (E-SYC27),2024.0,4.0,334.0
SEM KANTİN (E-SYC27),2024.0,5.0,350.0
SEM KANTİN (E-SYC27),2024.0,6.0,1.0
