BuildingName,Year,Month,TotalUsage
TEKNOPARK HANGAR (E-SYC14),2022.0,1.0,52.0
TEKNOPARK HANGAR (E-SYC14),2022.0,2.0,54.0
TEKNOPARK HANGAR (E-SYC14),2022.0,3.0,54.0
TEKNOPARK HANGAR (E-SYC14),2022.0,4.0,95.0
TEKNOPARK HANGAR (E-SYC14),2022.0,5.0,1787.0
TEKNOPARK HANGAR (E-SYC14),2022.0,6.0,845.0
TEKNOPARK HANGAR (E-SYC14),2022.0,7.0,656.0
TEKNOPARK HANGAR (E-SYC14),2022.0,8.0,742.0
TEKNOPARK HANGAR (E-SYC14),2022.0,9.0,397.0
TEKNOPARK HANGAR (E-SYC14),2022.0,10.0,578.0
TEKNOPARK HANGAR (E-SYC14),2022.0,11.0,218.0
TEKNOPARK HANGAR (E-SYC14),2022.0,12.0,740.0
TEKNOPARK HANGAR (E-SYC14),2023.0,1.0,706.0
TEKNOPARK HANGAR (E-SYC14),2023.0,2.0,709.0
TEKNOPARK HANGAR (E-SYC14),2023.0,3.0,52.0
TEKNOPARK HANGAR (E-SYC14),2023.0,4.0,618.0
TEKNOPARK HANGAR (E-SYC14),2023.0,5.0,874.0
TEKNOPARK HANGAR (E-SYC14),2023.0,6.0,698.0
TEKNOPARK HANGAR (E-SYC14),2023.0,7.0,581.0
TEKNOPARK HANGAR (E-SYC14),2023.0,8.0,441.0
TEKNOPARK HANGAR (E-SYC14),2023.0,9.0,546.0
TEKNOPARK HANGAR (E-SYC14),2023.0,10.0,733.0
TEKNOPARK HANGAR (E-SYC14),2023.0,12.0,909.0
TEKNOPARK HANGAR (E-SYC14),2024.0,1.0,1103.0
TEKNOPARK HANGAR (E-SYC14),2024.0,2.0,462.0
TEKNOPARK HANGAR (E-SYC14),2024.0,3.0,518.0
TEKNOPARK HANGAR (E-SYC14),2024.0,4.0,443.0
TEKNOPARK HANGAR (E-SYC14),2024.0,5.0,397.0
TEKNOPARK HANGAR (E-SYC14),2024.0,6.0,1.0
