BuildingName,Year,Month,TotalUsage
TEKNOPARK TETRA  (E-SYC15),2022.0,2.0,246.0
TEKNOPARK TETRA  (E-SYC15),2022.0,3.0,58.0
TEKNOPARK TETRA  (E-SYC15),2022.0,4.0,142.0
TEKNOPARK TETRA  (E-SYC15),2022.0,5.0,176.0
TEKNOPARK TETRA  (E-SYC15),2022.0,6.0,181.0
TEKNOPARK TETRA  (E-SYC15),2022.0,7.0,113.0
TEKNOPARK TETRA  (E-SYC15),2022.0,8.0,113.0
TEKNOPARK TETRA  (E-SYC15),2022.0,9.0,257.0
TEKNOPARK TETRA  (E-SYC15),2022.0,10.0,205.0
TEKNOPARK TETRA  (E-SYC15),2022.0,11.0,164.0
TEKNOPARK TETRA  (E-SYC15),2022.0,12.0,372.0
TEKNOPARK TETRA  (E-SYC15),2023.0,1.0,195.0
TEKNOPARK TETRA  (E-SYC15),2023.0,2.0,245.0
TEKNOPARK TETRA  (E-SYC15),2023.0,3.0,270.0
TEKNOPARK TETRA  (E-SYC15),2023.0,4.0,221.0
TEKNOPARK TETRA  (E-SYC15),2023.0,5.0,189.0
TEKNOPARK TETRA  (E-SYC15),2023.0,6.0,191.0
TEKNOPARK TETRA  (E-SYC15),2023.0,7.0,159.0
TEKNOPARK TETRA  (E-SYC15),2023.0,8.0,162.0
TEKNOPARK TETRA  (E-SYC15),2023.0,9.0,285.0
TEKNOPARK TETRA  (E-SYC15),2023.0,10.0,144.0
TEKNOPARK TETRA  (E-SYC15),2023.0,12.0,313.0
TEKNOPARK TETRA  (E-SYC15),2024.0,1.0,341.0
TEKNOPARK TETRA  (E-SYC15),2024.0,2.0,266.0
TEKNOPARK TETRA  (E-SYC15),2024.0,3.0,213.0
TEKNOPARK TETRA  (E-SYC15),2024.0,4.0,157.0
TEKNOPARK TETRA  (E-SYC15),2024.0,5.0,142.0
TEKNOPARK TETRA  (E-SYC15),2024.0,6.0,263.0
TEKNOPARK TETRA  (E-SYC15),2024.0,7.0,224.0
TEKNOPARK TETRA  (E-SYC15),2024.0,8.0,267.0
