BuildingName,Year,Month,TotalUsage
TETRA TRAFİK ALANI (E-SYC32),2023.0,7.0,576.0
TETRA TRAFİK ALANI (E-SYC32),2023.0,8.0,650.0
TETRA TRAFİK ALANI (E-SYC32),2023.0,9.0,546.0
TETRA TRAFİK ALANI (E-SYC32),2023.0,10.0,1104.0
TETRA TRAFİK ALANI (E-SYC32),2023.0,12.0,1101.0
TETRA TRAFİK ALANI (E-SYC32),2024.0,1.0,1039.0
TETRA TRAFİK ALANI (E-SYC32),2024.0,2.0,743.0
TETRA TRAFİK ALANI (E-SYC32),2024.0,3.0,515.0
TETRA TRAFİK ALANI (E-SYC32),2024.0,4.0,653.0
TETRA TRAFİK ALANI (E-SYC32),2024.0,5.0,702.0
TETRA TRAFİK ALANI (E-SYC32),2024.0,6.0,927.0
TETRA TRAFİK ALANI (E-SYC32),2024.0,7.0,845.0
TETRA TRAFİK ALANI (E-SYC32),2024.0,8.0,106003.0
