BuildingName,Year,Month,TotalUsage
ÇEVRE BİNASI I2 BLOK(E-SYC05),2022.0,1.0,230.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2022.0,2.0,233.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2022.0,3.0,228.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2022.0,4.0,227.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2022.0,5.0,230.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2022.0,6.0,228.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2022.0,7.0,227.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2022.0,8.0,228.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2022.0,9.0,229.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2022.0,10.0,231.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2022.0,11.0,227.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2022.0,12.0,230.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2023.0,1.0,226.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2023.0,2.0,229.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2023.0,3.0,231.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2023.0,4.0,228.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2023.0,5.0,230.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2023.0,6.0,228.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2023.0,7.0,225.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2023.0,8.0,229.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2023.0,9.0,230.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2023.0,10.0,232.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2023.0,12.0,234.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2024.0,1.0,227.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2024.0,2.0,228.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2024.0,3.0,239.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2024.0,4.0,270.0
ÇEVRE BİNASI I2 BLOK(E-SYC05),2024.0,5.0,200.0
