BuildingName,Year,Month,TotalUsage
ÇEVRE YEMEKHANESİ (E-SYC24),2022.0,1.0,1695.0
ÇEVRE YEMEKHANESİ (E-SYC24),2022.0,2.0,561.0
ÇEVRE YEMEKHANESİ (E-SYC24),2022.0,3.0,1393.0
ÇEVRE YEMEKHANESİ (E-SYC24),2022.0,4.0,1039.0
ÇEVRE YEMEKHANESİ (E-SYC24),2022.0,5.0,884.0
ÇEVRE YEMEKHANESİ (E-SYC24),2022.0,6.0,650.0
ÇEVRE YEMEKHANESİ (E-SYC24),2022.0,7.0,550.0
ÇEVRE YEMEKHANESİ (E-SYC24),2022.0,8.0,3.0
ÇEVRE YEMEKHANESİ (E-SYC24),2022.0,9.0,3.0
ÇEVRE YEMEKHANESİ (E-SYC24),2022.0,10.0,1140.0
ÇEVRE YEMEKHANESİ (E-SYC24),2022.0,11.0,1498.0
ÇEVRE YEMEKHANESİ (E-SYC24),2022.0,12.0,1585.0
ÇEVRE YEMEKHANESİ (E-SYC24),2023.0,1.0,422.0
ÇEVRE YEMEKHANESİ (E-SYC24),2023.0,2.0,575.0
ÇEVRE YEMEKHANESİ (E-SYC24),2023.0,3.0,568.0
ÇEVRE YEMEKHANESİ (E-SYC24),2023.0,4.0,323.0
ÇEVRE YEMEKHANESİ (E-SYC24),2023.0,5.0,226.0
ÇEVRE YEMEKHANESİ (E-SYC24),2023.0,6.0,282.0
ÇEVRE YEMEKHANESİ (E-SYC24),2023.0,7.0,235.0
ÇEVRE YEMEKHANESİ (E-SYC24),2023.0,8.0,263.0
ÇEVRE YEMEKHANESİ (E-SYC24),2023.0,9.0,379.0
ÇEVRE YEMEKHANESİ (E-SYC24),2023.0,10.0,310.0
ÇEVRE YEMEKHANESİ (E-SYC24),2023.0,12.0,1300.0
ÇEVRE YEMEKHANESİ (E-SYC24),2024.0,1.0,230.0
ÇEVRE YEMEKHANESİ (E-SYC24),2024.0,2.0,505.0
ÇEVRE YEMEKHANESİ (E-SYC24),2024.0,3.0,465.0
ÇEVRE YEMEKHANESİ (E-SYC24),2024.0,4.0,528.0
ÇEVRE YEMEKHANESİ (E-SYC24),2024.0,5.0,475.0
ÇEVRE YEMEKHANESİ (E-SYC24),2024.0,6.0,584.0
ÇEVRE YEMEKHANESİ (E-SYC24),2024.0,7.0,2.0
