BuildingName,Year,Month,TotalUsage
İŞLETME BİNASI O2 (E-SYC04),2022.0,1.0,100.0
İŞLETME BİNASI O2 (E-SYC04),2022.0,2.0,104.0
İŞLETME BİNASI O2 (E-SYC04),2022.0,3.0,105.0
İŞLETME BİNASI O2 (E-SYC04),2022.0,4.0,106.0
İŞLETME BİNASI O2 (E-SYC04),2022.0,5.0,103.0
İŞLETME BİNASI O2 (E-SYC04),2022.0,6.0,105.0
İŞLETME BİNASI O2 (E-SYC04),2022.0,7.0,103.0
İŞLETME BİNASI O2 (E-SYC04),2022.0,8.0,104.0
İŞLETME BİNASI O2 (E-SYC04),2022.0,9.0,106.0
İŞLETME BİNASI O2 (E-SYC04),2022.0,10.0,103.0
İŞLETME BİNASI O2 (E-SYC04),2022.0,11.0,106.0
İŞLETME BİNASI O2 (E-SYC04),2022.0,12.0,106.0
İŞLETME BİNASI O2 (E-SYC04),2023.0,1.0,104.0
İŞLETME BİNASI O2 (E-SYC04),2023.0,2.0,103.0
İŞLETME BİNASI O2 (E-SYC04),2023.0,3.0,99.0
İŞLETME BİNASI O2 (E-SYC04),2023.0,4.0,105.0
İŞLETME BİNASI O2 (E-SYC04),2023.0,5.0,105.0
İŞLETME BİNASI O2 (E-SYC04),2023.0,6.0,109.0
İŞLETME BİNASI O2 (E-SYC04),2023.0,7.0,105.0
İŞLETME BİNASI O2 (E-SYC04),2023.0,8.0,109.0
İŞLETME BİNASI O2 (E-SYC04),2023.0,9.0,105.0
İŞLETME BİNASI O2 (E-SYC04),2023.0,10.0,109.0
İŞLETME BİNASI O2 (E-SYC04),2023.0,12.0,109.0
İŞLETME BİNASI O2 (E-SYC04),2024.0,1.0,105.0
İŞLETME BİNASI O2 (E-SYC04),2024.0,2.0,109.0
İŞLETME BİNASI O2 (E-SYC04),2024.0,3.0,105.0
İŞLETME BİNASI O2 (E-SYC04),2024.0,4.0,109.0
İŞLETME BİNASI O2 (E-SYC04),2024.0,5.0,105.0
