BuildingName,Year,Month,TotalUsage
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2022.0,1.0,6390.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2022.0,2.0,7079.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2022.0,3.0,1180.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2022.0,4.0,117.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2022.0,5.0,66.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2022.0,6.0,7.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2022.0,7.0,2.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2022.0,8.0,3.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2022.0,9.0,5.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2022.0,10.0,570.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2022.0,11.0,4605.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2022.0,12.0,5075.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2023.0,1.0,7112.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2023.0,2.0,14039.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2023.0,3.0,4185.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2023.0,4.0,4376.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2023.0,5.0,1329.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2023.0,6.0,196.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2023.0,7.0,46.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2023.0,8.0,38.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2023.0,9.0,70.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2023.0,10.0,650.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2023.0,12.0,2400.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2024.0,1.0,5459.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2024.0,3.0,6008.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2024.0,4.0,898.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2024.0,5.0,554.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2024.0,6.0,276.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2024.0,7.0,164.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2024.0,8.0,110.0
HARİTA MÜHENDİSLİĞİ-BİYOTEKNOLOJİ,2024.0,9.0,110.0
