BuildingName,Year,Month,TotalUsage
ISI MERKEZİ,2022.0,1.0,24450.0
ISI MERKEZİ,2022.0,2.0,23550.0
ISI MERKEZİ,2022.0,3.0,18125.0
ISI MERKEZİ,2022.0,4.0,10500.0
ISI MERKEZİ,2022.0,5.0,17226.0
ISI MERKEZİ,2022.0,6.0,0.0
ISI MERKEZİ,2022.0,7.0,0.0
ISI MERKEZİ,2022.0,8.0,0.0
ISI MERKEZİ,2022.0,9.0,0.0
ISI MERKEZİ,2022.0,10.0,10500.0
ISI MERKEZİ,2022.0,11.0,35530.0
ISI MERKEZİ,2022.0,12.0,23500.0
ISI MERKEZİ,2023.0,1.0,25000.0
ISI MERKEZİ,2023.0,2.0,35319.0
ISI MERKEZİ,2023.0,3.0,11000.0
ISI MERKEZİ,2023.0,4.0,6818.0
ISI MERKEZİ,2023.0,5.0,574.0
ISI MERKEZİ,2023.0,6.0,0.0
ISI MERKEZİ,2023.0,7.0,0.0
ISI MERKEZİ,2023.0,8.0,0.0
ISI MERKEZİ,2023.0,9.0,0.0
ISI MERKEZİ,2023.0,10.0,0.0
ISI MERKEZİ,2023.0,12.0,23000.0
ISI MERKEZİ,2024.0,1.0,26001.0
ISI MERKEZİ,2024.0,3.0,20009.0
ISI MERKEZİ,2024.0,4.0,9160.0
ISI MERKEZİ,2024.0,5.0,7029.0
ISI MERKEZİ,2024.0,6.0,0.0
ISI MERKEZİ,2024.0,7.0,0.0
ISI MERKEZİ,2024.0,8.0,0.0
ISI MERKEZİ,2024.0,9.0,0.0
