BuildingName,Year,Month,TotalUsage
KAGEM NANOTEKNOLOJİ FİZİK,2022.0,1.0,4053.0
KAGEM NANOTEKNOLOJİ FİZİK,2022.0,2.0,4000.0
KAGEM NANOTEKNOLOJİ FİZİK,2022.0,3.0,2000.0
KAGEM NANOTEKNOLOJİ FİZİK,2022.0,4.0,2000.0
KAGEM NANOTEKNOLOJİ FİZİK,2022.0,5.0,200.0
KAGEM NANOTEKNOLOJİ FİZİK,2022.0,6.0,400.0
KAGEM NANOTEKNOLOJİ FİZİK,2022.0,7.0,400.0
KAGEM NANOTEKNOLOJİ FİZİK,2022.0,8.0,400.0
KAGEM NANOTEKNOLOJİ FİZİK,2022.0,9.0,400.0
KAGEM NANOTEKNOLOJİ FİZİK,2022.0,10.0,1000.0
KAGEM NANOTEKNOLOJİ FİZİK,2022.0,11.0,7000.0
KAGEM NANOTEKNOLOJİ FİZİK,2022.0,12.0,3500.0
KAGEM NANOTEKNOLOJİ FİZİK,2023.0,1.0,5500.0
KAGEM NANOTEKNOLOJİ FİZİK,2023.0,2.0,7700.0
KAGEM NANOTEKNOLOJİ FİZİK,2023.0,3.0,4000.0
KAGEM NANOTEKNOLOJİ FİZİK,2023.0,4.0,2000.0
KAGEM NANOTEKNOLOJİ FİZİK,2023.0,5.0,180.0
KAGEM NANOTEKNOLOJİ FİZİK,2023.0,6.0,220.0
KAGEM NANOTEKNOLOJİ FİZİK,2023.0,7.0,100.0
KAGEM NANOTEKNOLOJİ FİZİK,2023.0,8.0,154.0
KAGEM NANOTEKNOLOJİ FİZİK,2023.0,9.0,1000.0
KAGEM NANOTEKNOLOJİ FİZİK,2023.0,10.0,1000.0
KAGEM NANOTEKNOLOJİ FİZİK,2023.0,12.0,4000.0
KAGEM NANOTEKNOLOJİ FİZİK,2024.0,1.0,3346.0
KAGEM NANOTEKNOLOJİ FİZİK,2024.0,3.0,3052.0
KAGEM NANOTEKNOLOJİ FİZİK,2024.0,4.0,811.0
KAGEM NANOTEKNOLOJİ FİZİK,2024.0,5.0,907.0
KAGEM NANOTEKNOLOJİ FİZİK,2024.0,6.0,285.0
KAGEM NANOTEKNOLOJİ FİZİK,2024.0,7.0,216.0
KAGEM NANOTEKNOLOJİ FİZİK,2024.0,8.0,129.0
KAGEM NANOTEKNOLOJİ FİZİK,2024.0,9.0,253.0
