BuildingName,Year,Month,TotalUsage
KONGRE VE KÜLTÜR MERKEZİ,2022.0,1.0,4616.0
KONGRE VE KÜLTÜR MERKEZİ,2022.0,2.0,4226.0
KONGRE VE KÜLTÜR MERKEZİ,2022.0,3.0,5273.0
KONGRE VE KÜLTÜR MERKEZİ,2022.0,4.0,2827.0
KONGRE VE KÜLTÜR MERKEZİ,2022.0,5.0,7.0
KONGRE VE KÜLTÜR MERKEZİ,2022.0,6.0,14.0
KONGRE VE KÜLTÜR MERKEZİ,2022.0,7.0,10.0
KONGRE VE KÜLTÜR MERKEZİ,2022.0,8.0,10.0
KONGRE VE KÜLTÜR MERKEZİ,2022.0,9.0,6.0
KONGRE VE KÜLTÜR MERKEZİ,2022.0,10.0,220.0
KONGRE VE KÜLTÜR MERKEZİ,2022.0,11.0,1588.0
KONGRE VE KÜLTÜR MERKEZİ,2022.0,12.0,2192.0
KONGRE VE KÜLTÜR MERKEZİ,2023.0,1.0,3440.0
KONGRE VE KÜLTÜR MERKEZİ,2023.0,2.0,9413.0
KONGRE VE KÜLTÜR MERKEZİ,2023.0,3.0,2177.0
KONGRE VE KÜLTÜR MERKEZİ,2023.0,4.0,2222.0
KONGRE VE KÜLTÜR MERKEZİ,2023.0,5.0,417.0
KONGRE VE KÜLTÜR MERKEZİ,2023.0,6.0,610.0
KONGRE VE KÜLTÜR MERKEZİ,2023.0,7.0,26.0
KONGRE VE KÜLTÜR MERKEZİ,2023.0,8.0,14.0
KONGRE VE KÜLTÜR MERKEZİ,2023.0,9.0,46.0
KONGRE VE KÜLTÜR MERKEZİ,2023.0,10.0,0.0
KONGRE VE KÜLTÜR MERKEZİ,2023.0,12.0,3673.0
KONGRE VE KÜLTÜR MERKEZİ,2024.0,1.0,3129.0
KONGRE VE KÜLTÜR MERKEZİ,2024.0,3.0,4426.0
KONGRE VE KÜLTÜR MERKEZİ,2024.0,4.0,471.0
KONGRE VE KÜLTÜR MERKEZİ,2024.0,5.0,833.0
KONGRE VE KÜLTÜR MERKEZİ,2024.0,6.0,112.0
KONGRE VE KÜLTÜR MERKEZİ,2024.0,7.0,115.0
KONGRE VE KÜLTÜR MERKEZİ,2024.0,8.0,100.0
KONGRE VE KÜLTÜR MERKEZİ,2024.0,9.0,100.0
