BuildingName,Year,Month,TotalUsage
KİMYA MÜH.',2022.0,1.0,11413.0
KİMYA MÜH.',2022.0,2.0,8595.0
KİMYA MÜH.',2022.0,3.0,12365.0
KİMYA MÜH.',2022.0,4.0,8097.0
KİMYA MÜH.',2022.0,5.0,902.0
KİMYA MÜH.',2022.0,6.0,798.0
KİMYA MÜH.',2022.0,7.0,435.0
KİMYA MÜH.',2022.0,8.0,387.0
KİMYA MÜH.',2022.0,9.0,454.0
KİMYA MÜH.',2022.0,10.0,655.0
KİMYA MÜH.',2022.0,11.0,5954.0
KİMYA MÜH.',2022.0,12.0,4219.0
KİMYA MÜH.',2023.0,1.0,6387.0
KİMYA MÜH.',2023.0,2.0,15545.0
KİMYA MÜH.',2023.0,3.0,5388.0
KİMYA MÜH.',2023.0,4.0,5628.0
KİMYA MÜH.',2023.0,5.0,1119.0
KİMYA MÜH.',2023.0,6.0,869.0
KİMYA MÜH.',2023.0,7.0,391.0
KİMYA MÜH.',2023.0,8.0,446.0
KİMYA MÜH.',2023.0,9.0,392.0
KİMYA MÜH.',2023.0,10.0,1058.0
KİMYA MÜH.',2023.0,12.0,5000.0
KİMYA MÜH.',2024.0,1.0,6809.0
KİMYA MÜH.',2024.0,3.0,6028.0
KİMYA MÜH.',2024.0,4.0,1248.0
KİMYA MÜH.',2024.0,5.0,2006.0
KİMYA MÜH.',2024.0,6.0,592.0
KİMYA MÜH.',2024.0,7.0,300.0
KİMYA MÜH.',2024.0,8.0,300.0
KİMYA MÜH.',2024.0,9.0,273.0
