BuildingName,Year,Month,TotalUsage
MERKEZİ ARŞTIRMA LAB.,2022.0,1.0,3596.0
MERKEZİ ARŞTIRMA LAB.,2022.0,2.0,2558.0
MERKEZİ ARŞTIRMA LAB.,2022.0,3.0,3260.0
MERKEZİ ARŞTIRMA LAB.,2022.0,4.0,2201.0
MERKEZİ ARŞTIRMA LAB.,2022.0,5.0,937.0
MERKEZİ ARŞTIRMA LAB.,2022.0,6.0,687.0
MERKEZİ ARŞTIRMA LAB.,2022.0,7.0,563.0
MERKEZİ ARŞTIRMA LAB.,2022.0,8.0,458.0
MERKEZİ ARŞTIRMA LAB.,2022.0,9.0,824.0
MERKEZİ ARŞTIRMA LAB.,2022.0,10.0,863.0
MERKEZİ ARŞTIRMA LAB.,2022.0,11.0,2752.0
MERKEZİ ARŞTIRMA LAB.,2022.0,12.0,1755.0
MERKEZİ ARŞTIRMA LAB.,2023.0,1.0,2393.0
MERKEZİ ARŞTIRMA LAB.,2023.0,2.0,5700.0
MERKEZİ ARŞTIRMA LAB.,2023.0,3.0,2125.0
MERKEZİ ARŞTIRMA LAB.,2023.0,4.0,2638.0
MERKEZİ ARŞTIRMA LAB.,2023.0,5.0,1590.0
MERKEZİ ARŞTIRMA LAB.,2023.0,6.0,982.0
MERKEZİ ARŞTIRMA LAB.,2023.0,7.0,487.0
MERKEZİ ARŞTIRMA LAB.,2023.0,8.0,668.0
MERKEZİ ARŞTIRMA LAB.,2023.0,9.0,842.0
MERKEZİ ARŞTIRMA LAB.,2023.0,10.0,1560.0
MERKEZİ ARŞTIRMA LAB.,2023.0,12.0,2004.0
MERKEZİ ARŞTIRMA LAB.,2024.0,1.0,2179.0
MERKEZİ ARŞTIRMA LAB.,2024.0,3.0,1776.0
MERKEZİ ARŞTIRMA LAB.,2024.0,4.0,1593.0
MERKEZİ ARŞTIRMA LAB.,2024.0,5.0,761.0
MERKEZİ ARŞTIRMA LAB.,2024.0,6.0,530.0
MERKEZİ ARŞTIRMA LAB.,2024.0,7.0,264.0
MERKEZİ ARŞTIRMA LAB.,2024.0,8.0,245.0
MERKEZİ ARŞTIRMA LAB.,2024.0,9.0,1362.0
