BuildingName,Year,Month,TotalUsage
MOLEKÜLER BİYOLOJİ VE GENETİK,2022.0,1.0,5000.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2022.0,2.0,5000.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2022.0,3.0,5000.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2022.0,4.0,4000.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2022.0,5.0,300.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2022.0,6.0,50.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2022.0,7.0,50.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2022.0,8.0,100.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2022.0,9.0,50.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2022.0,10.0,450.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2022.0,11.0,4500.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2022.0,12.0,4650.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2023.0,1.0,5350.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2023.0,2.0,9300.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2023.0,3.0,5000.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2023.0,4.0,1500.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2023.0,5.0,500.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2023.0,6.0,100.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2023.0,7.0,100.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2023.0,8.0,100.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2023.0,9.0,100.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2023.0,10.0,100.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2023.0,12.0,3400.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2024.0,1.0,4300.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2024.0,3.0,3000.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2024.0,4.0,3556.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2024.0,5.0,878.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2024.0,6.0,121.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2024.0,7.0,100.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2024.0,8.0,95.0
MOLEKÜLER BİYOLOJİ VE GENETİK,2024.0,9.0,100.0
