BuildingName,Year,Month,TotalUsage
SERA,2022.0,1.0,5877.0
SERA,2022.0,2.0,4050.0
SERA,2022.0,3.0,4949.0
SERA,2022.0,4.0,1547.0
SERA,2022.0,5.0,0.0
SERA,2022.0,6.0,0.0
SERA,2022.0,7.0,0.0
SERA,2022.0,8.0,0.0
SERA,2022.0,9.0,0.0
SERA,2022.0,10.0,0.0
SERA,2022.0,11.0,2572.0
SERA,2022.0,12.0,2753.0
SERA,2023.0,1.0,3367.0
SERA,2023.0,2.0,8955.0
SERA,2023.0,3.0,2397.0
SERA,2023.0,4.0,2160.0
SERA,2023.0,5.0,62.0
SERA,2023.0,6.0,0.0
SERA,2023.0,7.0,0.0
SERA,2023.0,8.0,0.0
SERA,2023.0,9.0,0.0
SERA,2023.0,10.0,0.0
SERA,2023.0,12.0,3917.0
SERA,2024.0,1.0,4550.0
SERA,2024.0,3.0,3742.0
SERA,2024.0,4.0,2006.0
SERA,2024.0,5.0,0.0
SERA,2024.0,6.0,0.0
SERA,2024.0,7.0,0.0
SERA,2024.0,8.0,0.0
SERA,2024.0,9.0,0.0
