BuildingName,Year,Month,TotalUsage
TEKNOLOJİ TRANSFER OFİSİ,2022.0,1.0,1186.0
TEKNOLOJİ TRANSFER OFİSİ,2022.0,2.0,998.0
TEKNOLOJİ TRANSFER OFİSİ,2022.0,3.0,1167.0
TEKNOLOJİ TRANSFER OFİSİ,2022.0,4.0,760.0
TEKNOLOJİ TRANSFER OFİSİ,2022.0,5.0,18.0
TEKNOLOJİ TRANSFER OFİSİ,2022.0,6.0,12.0
TEKNOLOJİ TRANSFER OFİSİ,2022.0,7.0,9.0
TEKNOLOJİ TRANSFER OFİSİ,2022.0,8.0,9.0
TEKNOLOJİ TRANSFER OFİSİ,2022.0,9.0,11.0
TEKNOLOJİ TRANSFER OFİSİ,2022.0,10.0,12.0
TEKNOLOJİ TRANSFER OFİSİ,2022.0,11.0,1406.0
TEKNOLOJİ TRANSFER OFİSİ,2022.0,12.0,596.0
TEKNOLOJİ TRANSFER OFİSİ,2023.0,1.0,1071.0
TEKNOLOJİ TRANSFER OFİSİ,2023.0,2.0,2121.0
TEKNOLOJİ TRANSFER OFİSİ,2023.0,3.0,813.0
TEKNOLOJİ TRANSFER OFİSİ,2023.0,4.0,812.0
TEKNOLOJİ TRANSFER OFİSİ,2023.0,5.0,177.0
TEKNOLOJİ TRANSFER OFİSİ,2023.0,6.0,106.0
TEKNOLOJİ TRANSFER OFİSİ,2023.0,7.0,3.0
TEKNOLOJİ TRANSFER OFİSİ,2023.0,8.0,41.0
TEKNOLOJİ TRANSFER OFİSİ,2023.0,9.0,30.0
TEKNOLOJİ TRANSFER OFİSİ,2023.0,10.0,20.0
TEKNOLOJİ TRANSFER OFİSİ,2023.0,12.0,34.0
TEKNOLOJİ TRANSFER OFİSİ,2024.0,1.0,841.0
TEKNOLOJİ TRANSFER OFİSİ,2024.0,3.0,751.0
TEKNOLOJİ TRANSFER OFİSİ,2024.0,4.0,106.0
TEKNOLOJİ TRANSFER OFİSİ,2024.0,5.0,350.0
TEKNOLOJİ TRANSFER OFİSİ,2024.0,6.0,14.0
TEKNOLOJİ TRANSFER OFİSİ,2024.0,7.0,27.0
TEKNOLOJİ TRANSFER OFİSİ,2024.0,8.0,10.0
TEKNOLOJİ TRANSFER OFİSİ,2024.0,9.0,10.0
