BuildingName,Year,Month,TotalUsage
İŞLETME BİNASI,2022.0,1.0,9122.0
İŞLETME BİNASI,2022.0,2.0,8209.0
İŞLETME BİNASI,2022.0,3.0,11475.0
İŞLETME BİNASI,2022.0,4.0,8483.0
İŞLETME BİNASI,2022.0,5.0,194.0
İŞLETME BİNASI,2022.0,6.0,185.0
İŞLETME BİNASI,2022.0,7.0,60.0
İŞLETME BİNASI,2022.0,8.0,245.0
İŞLETME BİNASI,2022.0,9.0,166.0
İŞLETME BİNASI,2022.0,10.0,195.0
İŞLETME BİNASI,2022.0,11.0,8857.0
İŞLETME BİNASI,2022.0,12.0,6262.0
İŞLETME BİNASI,2023.0,1.0,9700.0
İŞLETME BİNASI,2023.0,2.0,17351.0
İŞLETME BİNASI,2023.0,3.0,6582.0
İŞLETME BİNASI,2023.0,4.0,4154.0
İŞLETME BİNASI,2023.0,5.0,5400.0
İŞLETME BİNASI,2023.0,6.0,124.0
İŞLETME BİNASI,2023.0,7.0,100.0
İŞLETME BİNASI,2023.0,8.0,0.0
İŞLETME BİNASI,2023.0,9.0,284.0
İŞLETME BİNASI,2023.0,10.0,235.0
İŞLETME BİNASI,2023.0,12.0,5300.0
İŞLETME BİNASI,2024.0,1.0,7547.0
İŞLETME BİNASI,2024.0,3.0,8770.0
İŞLETME BİNASI,2024.0,4.0,1763.0
İŞLETME BİNASI,2024.0,5.0,2849.0
İŞLETME BİNASI,2024.0,6.0,129.0
İŞLETME BİNASI,2024.0,7.0,3.0
İŞLETME BİNASI,2024.0,8.0,7.0
İŞLETME BİNASI,2024.0,9.0,5.0
