Year,Month,TotalUsage
2022.0,1.0,3957.0
2022.0,2.0,3623.0
2022.0,3.0,4820.0
2022.0,4.0,6586.0
2022.0,5.0,8326.0
2022.0,6.0,13762.0
2022.0,7.0,12629.0
2022.0,8.0,14424.0
2022.0,9.0,8342.0
2022.0,10.0,10026.0
2022.0,11.0,9208.0
2022.0,12.0,11033.0
2023.0,1.0,5081.0
2023.0,2.0,4237.0
2023.0,3.0,4022.0
2023.0,4.0,3888.0
2023.0,5.0,6093.0
2023.0,6.0,9591.0
2023.0,7.0,11629.0
2023.0,8.0,17827.0
2023.0,9.0,13300.0
2023.0,10.0,11671.0
2023.0,11.0,11086.0
2023.0,12.0,12475.0
2024.0,1.0,9254.0
2024.0,2.0,9264.0
2024.0,3.0,7747.0
2024.0,4.0,6220.0
2024.0,5.0,8260.0
2024.0,6.0,19050.0
2024.0,7.0,15327.0
2024.0,8.0,14728.0
2024.0,9.0,13684.0
2024.0,10.0,8274.0
