OCAK	31.01.2022		 1 	     823 	822,00	864,4932124
ŞUBAT	28.02.2022		 823 	 1.211 	388,00	407,5446234
MART	28.03.2022		 1.211 	 1.718 	507,00	530,3121272
NİSAN	28.04.2022		 1.718 	 1.820 	102,00	106,1963583
MAYIS	31.05.2022		 1.820 	 1.854 	34,00	35,2912463
HAZİRAN	30.06.2022		 1.854 	 1.854 	0,00	0,0000000
TEMMUZ	30.07.2022		 1.854 	 1.855 	1,00	1,0116411
AĞUSTOS	31.08.2022		 1.855 	 1.855 	0,00	0,0000000
EYLÜL	30.09.2022		 1.855 	 1.864 	9,00	9,0369476
EKİM	31.10.2022		 1.864 	 1.874 	10,00	10,1968664
KASIM	30.11.2022		 1.874 	 2.285 	411,00	430,3101884
ARALIK	30.12.2022		 2.285 	 2.700 	415,00	436,4300276
OCAK	24.01.2023		 2.700 	 2.874 	174,00	184,2836026
ŞUBAT	25.02.2023		 2.874 	 3.365 	491,00	520,2133731
MART	24.03.2023		 3.365 	 3.590 	225,00	236,5715257
NİSAN	28.04.2023		 3.590 	 3.814 	224,00	233,3927683
MAYIS	31.05.2023		 3.814 	 3.850 	36,00	36,8599030
HAZİRAN	20.06.2023		 3.850 	 3.872 	22,00	22,2908595
TEMMUZ	25.07.2023		 3.872 	 3.885 	13,00	13,1741877
AĞUSTOS	28.08.2023		 3.885 	 3.896 	11,00	11,0296072
EYLÜL	22.09.2023		 3.896 	 3.908 	12,00	12,1225892
EKİM	28.10.2023		 3.908 	 3.932 	24,00	24,5555072
KASIM	30.11.2023		 3.932 	 4.071 	139,00	144,5382185
ARALIK	29.12.2023		 4.071 	 4.507 	436,00	458,5324419
OCAK	27.01.2024		 4.507 	 5.006 	499,00	525,9714960
ŞUBAT	25.02.2024		 5.006 	 5.476 	470,00	498,6520021
MART	29.03.2024		 5.476 	 5.834 	358,00	377,3063202
NİSAN	24.04.2024		 5.834 	 5.845 	11,00	11,5059979
MAYIS	29.05.2024		 5.845 	 5.871 	26,00	26,7688499
HAZİRAN	29.06.2024		 5.871 	 5.883 	12,00	12,1768033
TEMMUZ	27.07.2024		 5.883 	 5.894 	11,00	11,0385545
AĞUSTOS	29.08.2024		 5.894 	 5.905 	11,00	11,0140571
EYLÜL	27.09.2024		 5.905 	 5.916 	11,00	11,2341397
