BuildingName,Year,Month,TotalUsage
ANAOKULU KREŞ,2022.0,1.0,400.0
ANAOKULU KREŞ,2022.0,2.0,400.0
ANAOKULU KREŞ,2022.0,3.0,300.0
ANAOKULU KREŞ,2022.0,4.0,100.0
ANAOKULU KREŞ,2022.0,5.0,0.0
ANAOKULU KREŞ,2022.0,6.0,0.0
ANAOKULU KREŞ,2022.0,7.0,0.0
ANAOKULU KREŞ,2022.0,8.0,0.0
ANAOKULU KREŞ,2022.0,9.0,0.0
ANAOKULU KREŞ,2022.0,10.0,0.0
ANAOKULU KREŞ,2022.0,11.0,403.0
ANAOKULU KREŞ,2022.0,12.0,200.0
ANAOKULU KREŞ,2023.0,1.0,400.0
ANAOKULU KREŞ,2023.0,2.0,800.0
ANAOKULU KREŞ,2023.0,3.0,500.0
ANAOKULU KREŞ,2023.0,4.0,500.0
ANAOKULU KREŞ,2023.0,5.0,10.0
ANAOKULU KREŞ,2023.0,6.0,10.0
ANAOKULU KREŞ,2023.0,7.0,10.0
ANAOKULU KREŞ,2023.0,8.0,10.0
ANAOKULU KREŞ,2023.0,9.0,10.0
ANAOKULU KREŞ,2023.0,10.0,10.0
ANAOKULU KREŞ,2023.0,12.0,200.0
ANAOKULU KREŞ,2024.0,1.0,400.0
ANAOKULU KREŞ,2024.0,3.0,200.0
ANAOKULU KREŞ,2024.0,4.0,223.0
ANAOKULU KREŞ,2024.0,5.0,77.0
ANAOKULU KREŞ,2024.0,6.0,55.0
ANAOKULU KREŞ,2024.0,7.0,45.0
ANAOKULU KREŞ,2024.0,8.0,40.0
ANAOKULU KREŞ,2024.0,9.0,40.0
ELEKTRONİK MÜHENDİSLİĞİ,2022.0,1.0,13449.0
ELEKTRONİK MÜHENDİSLİĞİ,2022.0,2.0,9107.0
ELEKTRONİK MÜHENDİSLİĞİ,2022.0,3.0,13877.0
ELEKTRONİK MÜHENDİSLİĞİ,2022.0,4.0,9534.0
ELEKTRONİK MÜHENDİSLİĞİ,2022.0,5.0,770.0
ELEKTRONİK MÜHENDİSLİĞİ,2022.0,6.0,976.0
ELEKTRONİK MÜHENDİSLİĞİ,2022.0,7.0,1082.0
ELEKTRONİK MÜHENDİSLİĞİ,2022.0,8.0,1168.0
ELEKTRONİK MÜHENDİSLİĞİ,2022.0,9.0,1189.0
ELEKTRONİK MÜHENDİSLİĞİ,2022.0,10.0,1308.0
ELEKTRONİK MÜHENDİSLİĞİ,2022.0,11.0,11022.0
ELEKTRONİK MÜHENDİSLİĞİ,2022.0,12.0,7684.0
ELEKTRONİK MÜHENDİSLİĞİ,2023.0,1.0,10906.0
ELEKTRONİK MÜHENDİSLİĞİ,2023.0,2.0,19979.0
ELEKTRONİK MÜHENDİSLİĞİ,2023.0,3.0,7036.0
ELEKTRONİK MÜHENDİSLİĞİ,2023.0,4.0,8065.0
ELEKTRONİK MÜHENDİSLİĞİ,2023.0,5.0,1842.0
ELEKTRONİK MÜHENDİSLİĞİ,2023.0,6.0,2703.0
ELEKTRONİK MÜHENDİSLİĞİ,2023.0,7.0,728.0
ELEKTRONİK MÜHENDİSLİĞİ,2023.0,8.0,740.0
ELEKTRONİK MÜHENDİSLİĞİ,2023.0,9.0,360.0
ELEKTRONİK MÜHENDİSLİĞİ,2023.0,10.0,423.0
ELEKTRONİK MÜHENDİSLİĞİ,2023.0,12.0,9346.0
ELEKTRONİK MÜHENDİSLİĞİ,2024.0,1.0,8328.0
ELEKTRONİK MÜHENDİSLİĞİ,2024.0,3.0,9650.0
ELEKTRONİK MÜHENDİSLİĞİ,2024.0,4.0,2813.0
ELEKTRONİK MÜHENDİSLİĞİ,2024.0,5.0,3396.0
ELEKTRONİK MÜHENDİSLİĞİ,2024.0,6.0,1910.0
ELEKTRONİK MÜHENDİSLİĞİ,2024.0,7.0,1545.0
ELEKTRONİK MÜHENDİSLİĞİ,2024.0,8.0,1477.0
ELEKTRONİK MÜHENDİSLİĞİ,2024.0,9.0,1329.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,1.0,1883.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,2.0,1626.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,3.0,1912.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,4.0,1197.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,5.0,133.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,6.0,108.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,7.0,14.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,8.0,121.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,9.0,200.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,10.0,10.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,11.0,803.0
ENSTİTÜ BİNALARI-G3-H3-F3,2022.0,12.0,1234.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,1.0,1272.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,2.0,3119.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,3.0,1158.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,4.0,1448.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,5.0,594.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,6.0,29.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,7.0,14.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,8.0,27.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,9.0,150.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,10.0,20.0
ENSTİTÜ BİNALARI-G3-H3-F3,2023.0,12.0,1301.0
ENSTİTÜ BİNALARI-G3-H3-F3,2024.0,1.0,1380.0
ENSTİTÜ BİNALARI-G3-H3-F3,2024.0,3.0,1566.0
ENSTİTÜ BİNALARI-G3-H3-F3,2024.0,4.0,275.0
ENSTİTÜ BİNALARI-G3-H3-F3,2024.0,5.0,537.0
ENSTİTÜ BİNALARI-G3-H3-F3,2024.0,6.0,102.0
ENSTİTÜ BİNALARI-G3-H3-F3,2024.0,7.0,79.0
ENSTİTÜ BİNALARI-G3-H3-F3,2024.0,8.0,100.0
ENSTİTÜ BİNALARI-G3-H3-F3,2024.0,9.0,79.0
HANGAR BİNASI,2022.0,1.0,1.0
HANGAR BİNASI,2022.0,2.0,0.0
HANGAR BİNASI,2022.0,3.0,0.0
