BuildingName,Year,Month,TotalUsage
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2022.0,1.0,2004.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2022.0,2.0,3713.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2022.0,3.0,1651.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2022.0,4.0,3455.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2022.0,5.0,2703.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2022.0,6.0,1732.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2022.0,7.0,1585.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2022.0,8.0,1303.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2022.0,9.0,4122.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2022.0,10.0,4590.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2022.0,11.0,4548.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2022.0,12.0,4072.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2023.0,1.0,3479.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2023.0,2.0,4158.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2023.0,3.0,2919.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2023.0,4.0,2026.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2023.0,5.0,1033.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2023.0,6.0,862.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2023.0,7.0,1003.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2023.0,8.0,1187.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2023.0,9.0,2101.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2023.0,10.0,6156.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2023.0,12.0,2366.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2024.0,1.0,5846.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2024.0,2.0,2692.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2024.0,3.0,2990.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2024.0,4.0,1997.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2024.0,5.0,3470.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2024.0,6.0,2650.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2024.0,7.0,1869.0
ÖĞRENC YEMEKHANESİ JB (E-SYC23),2024.0,8.0,1398.0
