BuildingName,Year,Month,TotalUsage
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2022.0,1.0,1435.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2022.0,2.0,1000.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2022.0,3.0,700.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2022.0,4.0,400.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2022.0,5.0,17.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2022.0,6.0,16.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2022.0,7.0,15.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2022.0,8.0,18.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2022.0,9.0,19.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2022.0,10.0,900.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2022.0,11.0,1800.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2022.0,12.0,130.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2023.0,1.0,1000.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2023.0,2.0,1329.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2023.0,3.0,300.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2023.0,4.0,400.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2023.0,5.0,50.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2023.0,6.0,20.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2023.0,7.0,20.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2023.0,8.0,30.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2023.0,9.0,15.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2023.0,10.0,650.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2023.0,12.0,715.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2024.0,1.0,885.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2024.0,3.0,978.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2024.0,4.0,200.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2024.0,5.0,214.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2024.0,6.0,27.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2024.0,7.0,20.0
ÖĞRENCİ İŞLERİ TEKNİK DAİRE BAŞ,2024.0,8.0,12.0
