BuildingName,Year,Month,TotalUsage
İŞLETME KANTİN (E-SYC28),2022.0,1.0,240.0
İŞLETME KANTİN (E-SYC28),2022.0,2.0,197.0
İŞLETME KANTİN (E-SYC28),2022.0,3.0,313.0
İŞLETME KANTİN (E-SYC28),2022.0,4.0,254.0
İŞLETME KANTİN (E-SYC28),2022.0,5.0,231.0
İŞLETME KANTİN (E-SYC28),2022.0,9.0,253.0
İŞLETME KANTİN (E-SYC28),2022.0,10.0,375.0
İŞLETME KANTİN (E-SYC28),2022.0,11.0,234.0
İŞLETME KANTİN (E-SYC28),2022.0,12.0,373.0
İŞLETME KANTİN (E-SYC28),2023.0,1.0,240.0
İŞLETME KANTİN (E-SYC28),2023.0,2.0,392.0
İŞLETME KANTİN (E-SYC28),2023.0,3.0,255.0
İŞLETME KANTİN (E-SYC28),2023.0,4.0,337.0
İŞLETME KANTİN (E-SYC28),2023.0,5.0,1112.0
İŞLETME KANTİN (E-SYC28),2023.0,9.0,602.0
İŞLETME KANTİN (E-SYC28),2023.0,10.0,1794.0
İŞLETME KANTİN (E-SYC28),2023.0,12.0,493.0
İŞLETME KANTİN (E-SYC28),2024.0,1.0,53.0
İŞLETME KANTİN (E-SYC28),2024.0,2.0,1746.0
İŞLETME KANTİN (E-SYC28),2024.0,3.0,1556.0
İŞLETME KANTİN (E-SYC28),2024.0,4.0,423.0
İŞLETME KANTİN (E-SYC28),2024.0,5.0,544.0
İŞLETME KANTİN (E-SYC28),2024.0,6.0,1.0
